Date,Price,Open,High,Low,Vol.,Change %
04/26/2026,"1,019.147","1,019.147","1,019.147","1,019.147",0.0,0.19%
04/19/2026,"1,017.191",989.881,"1,020.893",989.881,0.0,3.72%
04/12/2026,980.689,"1,006.525","1,007.684",980.689,0.0,−0.82%
04/05/2026,988.783,"1,049.671","1,049.671",968.203,0.0,−5.65%
03/29/2026,"1,047.963",929.796,"1,047.963",929.796,30.0,12.91%
03/22/2026,928.169,922.740,930.226,918.767,0.0,−2.71%
03/15/2026,954.032,908.797,954.032,908.797,0.0,4.42%
03/08/2026,913.633,869.682,913.633,820.441,0.0,13.12%
03/01/2026,807.693,723.962,807.693,723.962,0.0,17.19%
02/22/2026,689.199,654.437,689.199,653.301,0.0,5.33%
02/15/2026,654.339,640.228,655.324,640.228,0.0,1.87%
02/08/2026,642.339,654.463,654.463,642.339,0.0,−0.63%
02/01/2026,646.432,625.740,650.134,625.74,0.0,−0.99%
01/25/2026,652.885,609.882,652.885,609.882,24.0,6.66%
01/18/2026,612.120,611.089,613.981,611.089,0.0,1.21%
01/11/2026,604.813,613.098,618.966,604.813,0.0,−0.41%
01/04/2026,607.320,592.618,607.320,582.256,0.0,3.10%
12/28/2025,589.065,622.458,622.513,589.065,0.0,−5.16%
12/21/2025,621.100,622.436,622.751,621.1,0.0,0.22%
12/14/2025,619.709,626.583,626.583,617.804,0.0,−2.19%
12/07/2025,633.569,644.616,645.097,633.569,0.0,−3.43%
11/30/2025,656.068,663.000,663.000,648.776,5.0,1.63%
11/23/2025,645.546,702.287,702.287,645.546,30.0,−7.93%
11/16/2025,701.137,710.486,714.443,701.137,0.0,−1.52%
11/09/2025,711.938,696.629,711.938,696.629,0.0,4.18%
11/02/2025,683.400,670.381,683.400,667.906,24.0,2.75%
10/26/2025,665.101,681.374,683.202,665.101,17.0,−2.41%
10/19/2025,681.498,667.412,681.498,667.412,0.0,1.07%
10/12/2025,674.264,668.156,674.264,666.571,0.0,1.97%
10/05/2025,661.226,670.976,675.844,661.226,0.0,−0.56%
09/28/2025,664.925,724.211,724.211,662.401,85.0,−8.31%
09/21/2025,725.150,723.371,725.150,723.371,0.0,0.56%
09/14/2025,721.102,726.548,730.838,721.102,0.0,0.03%
09/07/2025,720.911,708.532,720.976,708.532,0.0,1.84%
08/31/2025,707.919,727.919,727.919,707.919,6.0,2.02%
08/24/2025,693.884,700.988,700.988,693.884,24.0,−0.97%
08/17/2025,700.649,695.649,701.649,693.701,0.0,1.25%
08/10/2025,692.021,695.223,695.608,692.021,0.0,−0.51%
08/03/2025,695.536,693.062,695.536,690.644,0.0,−0.26%
07/27/2025,697.324,696.505,715.836,696.505,0.0,0.31%
07/20/2025,695.186,696.646,696.646,695.186,0.0,−0.56%
07/13/2025,699.077,700.732,701.116,697.113,0.0,−0.78%
07/06/2025,704.550,703.486,709.627,697.994,0.0,1.80%
06/29/2025,692.103,672.174,692.103,672.174,0.0,−1.86%
06/22/2025,705.214,715.584,715.584,705.214,0.0,−2.69%
06/15/2025,724.698,706.070,724.698,706.07,0.0,4.57%
06/08/2025,693.044,681.705,697.746,681.705,0.0,2.19%
06/01/2025,678.188,671.631,678.280,671.631,10.0,3.55%
05/25/2025,654.968,666.461,667.275,654.968,10.0,−1.94%
05/18/2025,667.928,666.723,669.706,666.723,0.0,−0.13%
05/11/2025,668.798,677.393,668.798,668.798,0.0,0.12%
05/04/2025,668.023,643.328,668.023,643.328,0.0,3.86%
04/27/2025,643.178,666.719,666.719,641.850,70.0,−3.59%
04/20/2025,667.132,663.361,667.132,663.361,0.0,−0.03%
04/13/2025,667.302,657.456,667.302,656.414,0.0,2.24%
04/06/2025,652.696,656.032,659.397,643.251,0.0,−1.89%
03/30/2025,665.278,732.762,737.426,665.278,66.0,1.15%
03/23/2025,657.723,653.822,657.723,653.822,0.0,0.76%
03/16/2025,652.769,651.281,653.265,650.164,0.0,0.58%
03/09/2025,649.011,632.862,650.206,632.862,0.0,2.28%
03/02/2025,634.553,672.338,672.338,634.553,0.0,−7.54%
02/23/2025,686.264,714.201,714.201,686.264,11.0,−3.85%
02/16/2025,713.755,719.954,719.954,713.755,0.0,−0.70%
02/09/2025,718.751,723.266,731.252,718.585,0.0,−0.15%
02/02/2025,719.813,728.411,728.411,712.333,10.0,0.65%
01/26/2025,715.174,713.918,715.174,713.918,30.0,−0.13%
01/19/2025,716.086,715.956,717.270,715.766,0.0,−0.22%
01/12/2025,717.694,714.605,723.305,714.369,0.0,1.09%
01/05/2025,709.958,700.442,709.958,696.277,0.0,0.63%
12/29/2024,705.497,671.851,705.497,671.851,0.0,4.99%
12/22/2024,671.934,670.991,671.934,670.991,0.0,0.08%
12/15/2024,671.396,674.796,674.796,670.078,0.0,−1.17%
12/08/2024,679.344,664.233,679.344,664.233,0.0,3.98%
12/01/2024,653.314,670.838,670.838,653.314,0.0,0.82%
11/24/2024,647.993,671.882,671.882,647.993,10.0,−4.14%
11/17/2024,675.946,671.796,675.946,671.796,0.0,2.09%
11/10/2024,662.104,666.114,668.533,662.104,0.0,−2.46%
11/03/2024,678.774,683.476,691.331,678.774,0.0,1.75%
10/27/2024,667.071,704.556,704.616,666.015,0.0,−6.15%
10/20/2024,710.787,709.833,716.032,709.833,0.0,0.82%
10/13/2024,704.991,726.026,726.026,704.991,0.0,−3.94%
10/06/2024,733.901,712.785,733.901,710.915,0.0,2.44%
09/29/2024,716.393,674.148,717.084,674.148,10.0,4.34%
09/22/2024,686.623,688.211,690.407,686.623,0.0,−1.02%
09/15/2024,693.672,679.192,696.148,679.192,0.0,2.80%
09/08/2024,674.793,668.180,675.528,655.172,0.0,2.03%
09/01/2024,661.397,690.092,690.092,661.397,0.0,−9.00%
08/25/2024,726.791,767.470,767.470,726.791,0.0,−5.34%
08/18/2024,767.816,769.133,769.133,762.318,0.0,−0.97%
08/11/2024,775.370,800.871,800.871,775.370,0.0,−1.63%
08/04/2024,788.225,771.766,791.791,771.766,0.0,1.28%
07/28/2024,778.294,820.928,820.928,778.294,12.0,−5.47%
07/21/2024,823.287,826.111,826.111,819.903,0.0,−0.02%
07/14/2024,823.486,834.476,834.476,823.486,0.0,−1.67%
