Date,Price,Open,High,Low,Vol.,Change %
08/11/2022,965.721,965.721,965.721,965.721,,+0.34%
08/10/2022,962.491,962.491,962.491,962.491,,+1.29%
08/09/2022,950.232,950.232,950.232,950.232,,+1.19%
08/08/2022,939.071,939.071,939.071,939.071,,+1.22%
08/05/2022,927.783,927.783,927.783,927.783,,+0.61%
08/04/2022,922.189,922.189,922.189,922.189,,-3.95%
08/03/2022,960.140,960.140,960.140,960.140,,-3.30%
08/02/2022,992.877,992.877,992.877,992.877,,+0.12%
08/01/2022,991.656,991.656,991.656,991.656,,-3.71%
07/29/2022,"1,029.869","1,029.869","1,029.869","1,029.869",,-6.53%
07/28/2022,"1,101.782","1,101.782","1,101.782","1,101.782",,-0.05%
07/27/2022,"1,102.288","1,102.288","1,102.288","1,102.288",,+0.29%
07/26/2022,"1,099.079","1,099.079","1,099.079","1,099.079",,-0.20%
07/25/2022,"1,101.252","1,101.252","1,101.252","1,101.252",,+0.57%
07/22/2022,"1,095.032","1,095.032","1,095.032","1,095.032",,-0.34%
07/21/2022,"1,098.756","1,098.756","1,098.756","1,098.756",,-1.42%
07/20/2022,"1,114.578","1,114.578","1,114.578","1,114.578",,-0.62%
07/19/2022,"1,121.521","1,121.521","1,121.521","1,121.521",,+0.14%
07/18/2022,"1,119.942","1,119.942","1,119.942","1,119.942",,+1.16%
07/15/2022,"1,107.083","1,107.083","1,107.083","1,107.083",,+0.80%
07/14/2022,"1,098.249","1,098.249","1,098.249","1,098.249",,-1.82%
07/13/2022,"1,118.626","1,118.626","1,118.626","1,118.626",,-1.74%
07/12/2022,"1,138.470","1,138.470","1,138.470","1,138.470",,-4.48%
07/11/2022,"1,191.816","1,191.816","1,191.816","1,191.816",,+0.63%
07/08/2022,"1,184.343","1,184.343","1,184.343","1,184.343",,+0.90%
07/07/2022,"1,173.782","1,173.782","1,173.782","1,173.782",,+4.14%
07/06/2022,"1,127.075","1,127.075","1,127.075","1,127.075",,-1.58%
07/05/2022,"1,145.124","1,145.124","1,145.124","1,145.124",,-8.82%
07/01/2022,"1,255.856","1,255.856","1,255.856","1,255.856",,+3.04%
06/30/2022,"1,218.848","1,218.848","1,218.848","1,218.848",,-10.40%
06/29/2022,"1,360.271","1,360.271","1,360.271","1,360.271",,-0.22%
06/28/2022,"1,363.307","1,363.307","1,363.307","1,363.307",,+0.26%
06/27/2022,"1,359.831","1,359.831","1,359.831","1,359.831",,-0.12%
06/24/2022,"1,361.487","1,361.487","1,361.487","1,361.487",,+0.90%
06/23/2022,"1,349.314","1,349.314","1,349.314","1,349.314",,-0.45%
06/22/2022,"1,355.450","1,355.450","1,355.450","1,355.450",,+0.29%
06/21/2022,"1,351.472","1,351.472","1,351.472","1,351.472",,+0.16%
06/17/2022,"1,349.358","1,349.358","1,349.358","1,349.358",,-2.01%
06/16/2022,"1,376.978","1,376.978","1,376.978","1,376.978",,+1.90%
06/15/2022,"1,351.330","1,351.330","1,351.330","1,351.330",,-2.52%
06/14/2022,"1,386.323","1,386.323","1,386.323","1,386.323",,-0.81%
06/13/2022,"1,397.683","1,397.683","1,397.683","1,397.683",,-3.21%
06/10/2022,"1,444.018","1,444.018","1,444.018","1,444.018",,-1.15%
06/09/2022,"1,460.793","1,460.793","1,460.793","1,460.793",,+1.54%
06/08/2022,"1,438.694","1,438.694","1,438.694","1,438.694",,+1.27%
06/07/2022,"1,420.582","1,420.582","1,420.582","1,420.582",,-0.88%
06/06/2022,"1,433.266","1,433.266","1,433.266","1,433.266",,-3.40%
06/03/2022,"1,483.666","1,483.666","1,483.666","1,483.666",,+1.39%
06/02/2022,"1,463.292","1,463.292","1,463.292","1,463.292",,+2.79%
06/01/2022,"1,423.640","1,423.640","1,423.640","1,423.640",,+4.56%
05/31/2022,"1,361.566","1,361.566","1,361.566","1,361.566",,+9.73%
05/27/2022,"1,240.859","1,240.859","1,240.859","1,240.859",,+0.71%
05/26/2022,"1,232.071","1,232.071","1,232.071","1,232.071",,+0.53%
05/25/2022,"1,225.636","1,225.636","1,225.636","1,225.636",,+0.47%
05/24/2022,"1,219.900","1,219.900","1,219.900","1,219.900",,+0.46%
05/23/2022,"1,214.282","1,214.282","1,214.282","1,214.282",,-0.19%
05/20/2022,"1,216.648","1,216.648","1,216.648","1,216.648",,-0.10%
05/19/2022,"1,217.897","1,217.897","1,217.897","1,217.897",,+1.14%
05/18/2022,"1,204.188","1,204.188","1,204.188","1,204.188",,-2.05%
05/17/2022,"1,229.404","1,229.404","1,229.404","1,229.404",,-0.67%
05/16/2022,"1,237.676","1,237.676","1,237.676","1,237.676",,-0.08%
05/13/2022,"1,238.673","1,238.673","1,238.673","1,238.673",,+3.27%
05/12/2022,"1,199.432","1,199.432","1,199.432","1,199.432",,+1.90%
05/11/2022,"1,177.116","1,177.116","1,177.116","1,177.116",,+2.43%
05/10/2022,"1,149.212","1,149.212","1,149.212","1,149.212",,-1.61%
05/09/2022,"1,168.064","1,168.064","1,168.064","1,168.064",,-3.33%
