Date,Price,Open,High,Low,Vol.,Change %
04/26/2026,"1,263.75","1,248.50","1,292.00","1,243.50",56.89K,1.18%
04/19/2026,"1,249.00","1,115.50","1,284.00","1,058.50",268.37K,21.47%
04/12/2026,"1,028.25","1,250.00","1,271.50",988.00,387.27K,-26.67%
04/05/2026,"1,402.25","1,553.25","1,576.75","1,170.75",117.00K,-5.37%
03/29/2026,"1,481.75","1,432.75","1,587.50","1,280.00",170.01K,7.88%
03/22/2026,"1,373.50","1,380.00","1,437.50","1,137.00",289.66K,1.85%
03/15/2026,"1,348.50","1,165.00","1,415.50","1,109.25",393.67K,18.99%
03/08/2026,"1,133.25","1,210.00","1,381.00",944.00,184.51K,-2.16%
03/01/2026,"1,158.25",820.00,"1,189.00",817.50,419.36K,53.87%
02/22/2026,752.75,726.25,760.25,713.25,324.53K,2.73%
02/15/2026,732.75,671.75,745.50,665.75,393.28K,8.96%
02/08/2026,672.50,688.75,707.50,665.75,165.38K,-3.83%
02/01/2026,699.25,720.50,721.25,669.75,222.97K,-5.82%
01/25/2026,742.50,682.75,743.00,666.50,313.48K,9.92%
01/18/2026,675.50,647.25,689.75,642.50,434.04K,3.17%
01/11/2026,654.75,628.00,672.25,619.25,443.21K,3.56%
01/04/2026,632.25,615.50,636.00,596.75,190.42K,3.44%
12/28/2025,611.25,614.25,633.25,610.50,93.47K,-1.37%
12/21/2025,619.75,609.25,636.00,609.25,99.90K,2.02%
12/14/2025,607.50,631.25,633.25,605.00,296.67K,-3.46%
12/07/2025,629.25,686.00,688.00,625.50,151.42K,-7.90%
11/30/2025,683.25,681.00,698.00,658.25,184.27K,-0.36%
11/23/2025,685.75,715.75,720.75,664.75,234.88K,-3.65%
11/16/2025,711.75,740.25,805.00,705.00,538.41K,-4.59%
11/09/2025,746.00,770.00,791.25,712.25,274.08K,-1.94%
11/02/2025,760.75,721.00,808.75,708.00,255.79K,5.88%
10/26/2025,718.50,713.50,738.25,693.50,297.93K,-0.03%
10/19/2025,718.75,634.25,721.75,631.25,412.77K,13.55%
10/12/2025,633.00,648.50,663.00,617.25,410.35K,-7.32%
10/05/2025,683.00,671.00,686.25,663.25,152.01K,1.75%
09/28/2025,671.25,721.00,724.50,663.25,284.32K,-8.42%
09/21/2025,733.00,690.50,734.00,681.25,350.46K,5.70%
09/14/2025,693.50,685.25,717.50,684.25,343.05K,0.36%
