anno,carburante,n_settimane,media_eur_l,delta_vs_2019,anomalo_2sigma,mw_p_vs_2019,windfall_net_meur,neff_yr,rho_yr,NOTE_windfall
2019,Benzina,52,0.16827,0.0,False,0.5013,-0.0,11.1,0.647,volumi proxy fissi 2022 — sovrastimato per 2025+
2020,Benzina,52,0.20419,0.03592,False,0.0001,340.0,2.7,0.9,volumi proxy fissi 2022 — sovrastimato per 2025+
2021,Benzina,52,0.18162,0.01335,False,0.0076,126.4,14.7,0.56,volumi proxy fissi 2022 — sovrastimato per 2025+
2022,Benzina,52,0.25357,0.08529,True,0.0,807.2,9.7,0.686,volumi proxy fissi 2022 — sovrastimato per 2025+
2023,Benzina,52,0.23519,0.06692,True,0.0,633.3,10.6,0.663,volumi proxy fissi 2022 — sovrastimato per 2025+
2024,Benzina,53,0.23273,0.06445,True,0.0,621.7,11.5,0.643,volumi proxy fissi 2022 — sovrastimato per 2025+
2025,Benzina,52,0.25469,0.08642,True,0.0,817.9,7.1,0.759,volumi proxy fissi 2022 — sovrastimato per 2025+
2026,Benzina,15,0.27363,0.10536,True,0.0,287.6,7.7,0.32,volumi proxy fissi 2022 — sovrastimato per 2025+
2019,Diesel,52,0.14878,0.0,False,0.5013,-0.0,9.0,0.705,volumi proxy fissi 2022 — sovrastimato per 2025+
2020,Diesel,52,0.19274,0.04396,True,0.0,1362.4,5.1,0.821,volumi proxy fissi 2022 — sovrastimato per 2025+
2021,Diesel,52,0.18196,0.03317,False,0.0,1028.1,6.3,0.783,volumi proxy fissi 2022 — sovrastimato per 2025+
2022,Diesel,52,0.2229,0.07412,True,0.0,2297.1,19.5,0.454,volumi proxy fissi 2022 — sovrastimato per 2025+
2023,Diesel,52,0.21477,0.06598,True,0.0,2045.0,11.2,0.645,volumi proxy fissi 2022 — sovrastimato per 2025+
2024,Diesel,53,0.21004,0.06126,True,0.0,1935.0,15.7,0.543,volumi proxy fissi 2022 — sovrastimato per 2025+
2025,Diesel,52,0.22501,0.07623,True,0.0,2362.4,9.4,0.693,volumi proxy fissi 2022 — sovrastimato per 2025+
2026,Diesel,15,0.17429,0.0255,False,0.0056,228.0,6.1,0.42,volumi proxy fissi 2022 — sovrastimato per 2025+
