Evento,Paese_controllo,Carburante,preliminare,n_IT_pre,n_IT_post,n_CT_pre,n_CT_post,PTA_pvalue,PTA_non_rigettata,PTA_finestra_w,delta_DiD,SE_HC3,CI_95_lo,CI_95_hi,p_value,H0
Ucraina (Feb 2022),Germania,Benzina,False,25,27,24,26,0.2692,True,8,-0.0243,0.0297,-0.0826,0.0339,0.413204,non rifiutata
Ucraina (Feb 2022),Germania,Diesel,False,25,27,24,26,0.3196,True,8,-0.0331,0.0322,-0.0962,0.03,0.303603,non rifiutata
Iran-Israele (Giu 2025),Germania,Benzina,False,23,20,23,20,0.0534,True,8,0.002,0.0085,-0.0146,0.0187,0.81085,non rifiutata
Iran-Israele (Giu 2025),Germania,Diesel,False,23,20,23,20,0.9201,True,8,-0.0102,0.0128,-0.0353,0.0149,0.426867,non rifiutata
Hormuz (Feb 2026),Germania,Benzina,True,21,7,21,8,0.2782,True,8,-0.0762,0.0414,-0.1573,0.0049,0.065659,non rifiutata
Hormuz (Feb 2026),Germania,Diesel,True,21,7,21,8,0.9457,True,8,-0.0958,0.0919,-0.276,0.0843,0.297227,non rifiutata
Ucraina (Feb 2022),Svezia,Benzina,False,25,27,24,26,0.0,False,8,0.0182,0.0268,-0.0343,0.0707,0.496875,non rifiutata
Ucraina (Feb 2022),Svezia,Diesel,False,25,27,24,26,0.4546,True,8,-0.0599,0.0309,-0.1204,0.0006,0.052182,non rifiutata
Iran-Israele (Giu 2025),Svezia,Benzina,False,23,20,23,20,0.6835,True,8,-0.0108,0.0085,-0.0274,0.0058,0.200714,non rifiutata
Iran-Israele (Giu 2025),Svezia,Diesel,False,23,20,23,20,0.482,True,8,-0.0173,0.0132,-0.0431,0.0086,0.19078,non rifiutata
Hormuz (Feb 2026),Svezia,Benzina,True,21,7,21,8,0.0934,True,8,-0.0074,0.0439,-0.0933,0.0786,0.866472,non rifiutata
Hormuz (Feb 2026),Svezia,Diesel,True,21,7,21,8,0.3684,True,8,-0.0749,0.0949,-0.2608,0.111,0.42967,non rifiutata
