fonte,tipo,test,H0,descrizione,p_value,split_type,evento,carburante,hac_maxlags,neff_combined,neff_flag,NOTE
BlockPerm_Ucraina (Feb 2022)_Benzina_shock_hard,exploratory_locale,BlockPerm,H0_locale: delta_post = delta_pre,Ucraina (Feb 2022) | Benzina | split=shock_hard,0.0141,shock_hard,Ucraina (Feb 2022),Benzina,,10.1,ok,[NON in BH globale — H0 diversa da confirmatory]
HAC_Andrews_Ucraina (Feb 2022)_Benzina_shock_hard,exploratory_locale,HAC_Andrews,H0_locale: delta_post = delta_pre,Ucraina (Feb 2022) | Benzina | split=shock_hard,0.0214,shock_hard,Ucraina (Feb 2022),Benzina,24.0,10.1,ok,[NON in BH globale — H0 diversa da confirmatory]
BlockPerm_Ucraina (Feb 2022)_Benzina_tau_price,exploratory_locale,BlockPerm,H0_locale: delta_post = delta_pre,Ucraina (Feb 2022) | Benzina | split=tau_price,0.1248,tau_price,Ucraina (Feb 2022),Benzina,,10.1,ok,[NON in BH globale — H0 diversa da confirmatory]
HAC_Andrews_Ucraina (Feb 2022)_Benzina_tau_price,exploratory_locale,HAC_Andrews,H0_locale: delta_post = delta_pre,Ucraina (Feb 2022) | Benzina | split=tau_price,0.1557,tau_price,Ucraina (Feb 2022),Benzina,24.0,10.1,ok,[NON in BH globale — H0 diversa da confirmatory]
BlockPerm_Ucraina (Feb 2022)_Diesel_shock_hard,exploratory_locale,BlockPerm,H0_locale: delta_post = delta_pre,Ucraina (Feb 2022) | Diesel | split=shock_hard,0.0352,shock_hard,Ucraina (Feb 2022),Diesel,,16.5,ok,[NON in BH globale — H0 diversa da confirmatory]
HAC_Andrews_Ucraina (Feb 2022)_Diesel_shock_hard,exploratory_locale,HAC_Andrews,H0_locale: delta_post = delta_pre,Ucraina (Feb 2022) | Diesel | split=shock_hard,0.0063,shock_hard,Ucraina (Feb 2022),Diesel,12.0,16.5,ok,[NON in BH globale — H0 diversa da confirmatory]
BlockPerm_Ucraina (Feb 2022)_Diesel_tau_price,exploratory_locale,BlockPerm,H0_locale: delta_post = delta_pre,Ucraina (Feb 2022) | Diesel | split=tau_price,0.3463,tau_price,Ucraina (Feb 2022),Diesel,,16.5,ok,[NON in BH globale — H0 diversa da confirmatory]
HAC_Andrews_Ucraina (Feb 2022)_Diesel_tau_price,exploratory_locale,HAC_Andrews,H0_locale: delta_post = delta_pre,Ucraina (Feb 2022) | Diesel | split=tau_price,0.489,tau_price,Ucraina (Feb 2022),Diesel,12.0,16.5,ok,[NON in BH globale — H0 diversa da confirmatory]
BlockPerm_Iran-Israele (Giu 2025)_Benzina_shock_hard,exploratory_locale,BlockPerm,H0_locale: delta_post = delta_pre,Iran-Israele (Giu 2025) | Benzina | split=shock_hard,0.7236,shock_hard,Iran-Israele (Giu 2025),Benzina,,7.1,ATTENZIONE: n_eff=7.1 (interpreta con cautela),[NON in BH globale — H0 diversa da confirmatory]
HAC_Andrews_Iran-Israele (Giu 2025)_Benzina_shock_hard,exploratory_locale,HAC_Andrews,H0_locale: delta_post = delta_pre,Iran-Israele (Giu 2025) | Benzina | split=shock_hard,0.3116,shock_hard,Iran-Israele (Giu 2025),Benzina,21.0,7.1,ATTENZIONE: n_eff=7.1 (interpreta con cautela),[NON in BH globale — H0 diversa da confirmatory]
BlockPerm_Iran-Israele (Giu 2025)_Benzina_tau_price,exploratory_locale,BlockPerm,H0_locale: delta_post = delta_pre,Iran-Israele (Giu 2025) | Benzina | split=tau_price,0.9114,tau_price,Iran-Israele (Giu 2025),Benzina,,7.1,ATTENZIONE: n_eff=7.1 (interpreta con cautela),[NON in BH globale — H0 diversa da confirmatory]
HAC_Andrews_Iran-Israele (Giu 2025)_Benzina_tau_price,exploratory_locale,HAC_Andrews,H0_locale: delta_post = delta_pre,Iran-Israele (Giu 2025) | Benzina | split=tau_price,0.0034,tau_price,Iran-Israele (Giu 2025),Benzina,21.0,7.1,ATTENZIONE: n_eff=7.1 (interpreta con cautela),[NON in BH globale — H0 diversa da confirmatory]
BlockPerm_Iran-Israele (Giu 2025)_Diesel_shock_hard,exploratory_locale,BlockPerm,H0_locale: delta_post = delta_pre,Iran-Israele (Giu 2025) | Diesel | split=shock_hard,0.9224,shock_hard,Iran-Israele (Giu 2025),Diesel,,12.6,ok,[NON in BH globale — H0 diversa da confirmatory]
HAC_Andrews_Iran-Israele (Giu 2025)_Diesel_shock_hard,exploratory_locale,HAC_Andrews,H0_locale: delta_post = delta_pre,Iran-Israele (Giu 2025) | Diesel | split=shock_hard,0.0604,shock_hard,Iran-Israele (Giu 2025),Diesel,13.0,12.6,ok,[NON in BH globale — H0 diversa da confirmatory]
BlockPerm_Iran-Israele (Giu 2025)_Diesel_tau_price,exploratory_locale,BlockPerm,H0_locale: delta_post = delta_pre,Iran-Israele (Giu 2025) | Diesel | split=tau_price,0.9636,tau_price,Iran-Israele (Giu 2025),Diesel,,12.6,ok,[NON in BH globale — H0 diversa da confirmatory]
HAC_Andrews_Iran-Israele (Giu 2025)_Diesel_tau_price,exploratory_locale,HAC_Andrews,H0_locale: delta_post = delta_pre,Iran-Israele (Giu 2025) | Diesel | split=tau_price,0.0302,tau_price,Iran-Israele (Giu 2025),Diesel,13.0,12.6,ok,[NON in BH globale — H0 diversa da confirmatory]
