fonte,tipo,descrizione,p_value,BH_global_reject,p_value_BH_adjusted
Welch_t_Ucraina (Feb 2022)_Benzina_shock_hard,confirmatory,Ucraina (Feb 2022) | Benzina | split=shock_hard,0.0001,True,0.0002666666666666667
MannWhitney_Ucraina (Feb 2022)_Benzina_shock_hard,confirmatory,Ucraina (Feb 2022) | Benzina | split=shock_hard,0.0001,True,0.0002666666666666667
BlockPerm_Ucraina (Feb 2022)_Benzina_shock_hard,confirmatory,Ucraina (Feb 2022) | Benzina | split=shock_hard,0.0141,True,0.0282
HAC_Ucraina (Feb 2022)_Benzina_shock_hard,confirmatory,Ucraina (Feb 2022) | Benzina | split=shock_hard,0.0862,False,0.13046486486486486
Welch_t_Ucraina (Feb 2022)_Benzina_tau_price,confirmatory,Ucraina (Feb 2022) | Benzina | split=tau_price,0.0,True,0.0
MannWhitney_Ucraina (Feb 2022)_Benzina_tau_price,confirmatory,Ucraina (Feb 2022) | Benzina | split=tau_price,0.0,True,0.0
BlockPerm_Ucraina (Feb 2022)_Benzina_tau_price,confirmatory,Ucraina (Feb 2022) | Benzina | split=tau_price,0.1265,False,0.18164102564102563
HAC_Ucraina (Feb 2022)_Benzina_tau_price,confirmatory,Ucraina (Feb 2022) | Benzina | split=tau_price,0.1782,False,0.24948
Welch_t_Ucraina (Feb 2022)_Benzina_tau_margin,confirmatory,Ucraina (Feb 2022) | Benzina | split=tau_margin,0.0,True,0.0
MannWhitney_Ucraina (Feb 2022)_Benzina_tau_margin,confirmatory,Ucraina (Feb 2022) | Benzina | split=tau_margin,0.0,True,0.0
BlockPerm_Ucraina (Feb 2022)_Benzina_tau_margin,confirmatory,Ucraina (Feb 2022) | Benzina | split=tau_margin,0.009,True,0.019384615384615386
HAC_Ucraina (Feb 2022)_Benzina_tau_margin,confirmatory,Ucraina (Feb 2022) | Benzina | split=tau_margin,0.0388,False,0.07009032258064517
Welch_t_Ucraina (Feb 2022)_Diesel_shock_hard,confirmatory,Ucraina (Feb 2022) | Diesel | split=shock_hard,0.0008,True,0.0019478260869565218
MannWhitney_Ucraina (Feb 2022)_Diesel_shock_hard,confirmatory,Ucraina (Feb 2022) | Diesel | split=shock_hard,0.0,True,0.0
BlockPerm_Ucraina (Feb 2022)_Diesel_shock_hard,confirmatory,Ucraina (Feb 2022) | Diesel | split=shock_hard,0.0359,False,0.06701333333333334
HAC_Ucraina (Feb 2022)_Diesel_shock_hard,confirmatory,Ucraina (Feb 2022) | Diesel | split=shock_hard,0.0975,False,0.14368421052631578
Welch_t_Ucraina (Feb 2022)_Diesel_tau_price,confirmatory,Ucraina (Feb 2022) | Diesel | split=tau_price,0.0009,True,0.0021
MannWhitney_Ucraina (Feb 2022)_Diesel_tau_price,confirmatory,Ucraina (Feb 2022) | Diesel | split=tau_price,0.0003,True,0.0007636363636363636
BlockPerm_Ucraina (Feb 2022)_Diesel_tau_price,confirmatory,Ucraina (Feb 2022) | Diesel | split=tau_price,0.3524,False,0.4485090909090909
HAC_Ucraina (Feb 2022)_Diesel_tau_price,confirmatory,Ucraina (Feb 2022) | Diesel | split=tau_price,0.4957,False,0.5796873898759861
Welch_t_Ucraina (Feb 2022)_Diesel_tau_margin,confirmatory,Ucraina (Feb 2022) | Diesel | split=tau_margin,0.0,True,0.0
MannWhitney_Ucraina (Feb 2022)_Diesel_tau_margin,confirmatory,Ucraina (Feb 2022) | Diesel | split=tau_margin,0.0,True,0.0
BlockPerm_Ucraina (Feb 2022)_Diesel_tau_margin,confirmatory,Ucraina (Feb 2022) | Diesel | split=tau_margin,0.0064,True,0.014336
HAC_Ucraina (Feb 2022)_Diesel_tau_margin,confirmatory,Ucraina (Feb 2022) | Diesel | split=tau_margin,0.0137,True,0.0282
Welch_t_Iran-Israele (Giu 2025)_Benzina_shock_hard,confirmatory,Iran-Israele (Giu 2025) | Benzina | split=shock_hard,0.0,True,0.0
MannWhitney_Iran-Israele (Giu 2025)_Benzina_shock_hard,confirmatory,Iran-Israele (Giu 2025) | Benzina | split=shock_hard,0.0,True,0.0
BlockPerm_Iran-Israele (Giu 2025)_Benzina_shock_hard,confirmatory,Iran-Israele (Giu 2025) | Benzina | split=shock_hard,0.7255,False,0.81256
HAC_Iran-Israele (Giu 2025)_Benzina_shock_hard,confirmatory,Iran-Israele (Giu 2025) | Benzina | split=shock_hard,0.5259,False,0.6010285714285715
Welch_t_Iran-Israele (Giu 2025)_Benzina_tau_price,confirmatory,Iran-Israele (Giu 2025) | Benzina | split=tau_price,0.0,True,0.0
MannWhitney_Iran-Israele (Giu 2025)_Benzina_tau_price,confirmatory,Iran-Israele (Giu 2025) | Benzina | split=tau_price,0.0,True,0.0
BlockPerm_Iran-Israele (Giu 2025)_Benzina_tau_price,confirmatory,Iran-Israele (Giu 2025) | Benzina | split=tau_price,0.9149,False,0.9623703703703704
HAC_Iran-Israele (Giu 2025)_Benzina_tau_price,confirmatory,Iran-Israele (Giu 2025) | Benzina | split=tau_price,0.0666,False,0.10360000000000001
Welch_t_Iran-Israele (Giu 2025)_Benzina_tau_margin,confirmatory,Iran-Israele (Giu 2025) | Benzina | split=tau_margin,0.0,True,0.0
MannWhitney_Iran-Israele (Giu 2025)_Benzina_tau_margin,confirmatory,Iran-Israele (Giu 2025) | Benzina | split=tau_margin,0.0,True,0.0
BlockPerm_Iran-Israele (Giu 2025)_Benzina_tau_margin,confirmatory,Iran-Israele (Giu 2025) | Benzina | split=tau_margin,0.928,False,0.9623703703703704
