fonte,tipo,test,descrizione,p_value,split_type,evento,carburante,BH_reject,p_BH_adj,BH_global_reject,p_value_BH_adjusted,famiglia,Evento,Paese_controllo,Carburante,n_IT_pre,n_IT_post,n_CT_pre,n_CT_post,PTA_pvalue,PTA_non_rigettata,delta_DiD_EUR_L,SE_HC3,CI_95_low,CI_95_high,t_stat,R2_OLS,H0,interpretation_note,famiglia_BH,BH_DiD_reject,p_DiD_BH_adjusted
HAC_t_Ucraina (Feb 2022)_Benzina_shock_hard,confirmatory,HAC_t,Ucraina (Feb 2022) | Benzina | split=shock_hard,0.0014,shock_hard,Ucraina (Feb 2022),Benzina,True,0.0016,True,0.0016,primaria,,,,,,,,,,,,,,,,,,,,
MannWhitney_Ucraina (Feb 2022)_Benzina_shock_hard,confirmatory,MannWhitney,Ucraina (Feb 2022) | Benzina | split=shock_hard,0.0001,shock_hard,Ucraina (Feb 2022),Benzina,True,0.0001333333333333,True,0.00013333333333333334,primaria,,,,,,,,,,,,,,,,,,,,
HAC_t_Ucraina (Feb 2022)_Benzina_tau_price,confirmatory,HAC_t,Ucraina (Feb 2022) | Benzina | split=tau_price,0.0016,tau_price,Ucraina (Feb 2022),Benzina,True,0.0017066666666666,True,0.0017066666666666667,primaria,,,,,,,,,,,,,,,,,,,,
MannWhitney_Ucraina (Feb 2022)_Benzina_tau_price,confirmatory,MannWhitney,Ucraina (Feb 2022) | Benzina | split=tau_price,0.0,tau_price,Ucraina (Feb 2022),Benzina,True,0.0,True,0.0,primaria,,,,,,,,,,,,,,,,,,,,
HAC_t_Ucraina (Feb 2022)_Diesel_shock_hard,confirmatory,HAC_t,Ucraina (Feb 2022) | Diesel | split=shock_hard,0.0001,shock_hard,Ucraina (Feb 2022),Diesel,True,0.0001333333333333,True,0.00013333333333333334,primaria,,,,,,,,,,,,,,,,,,,,
MannWhitney_Ucraina (Feb 2022)_Diesel_shock_hard,confirmatory,MannWhitney,Ucraina (Feb 2022) | Diesel | split=shock_hard,0.0,shock_hard,Ucraina (Feb 2022),Diesel,True,0.0,True,0.0,primaria,,,,,,,,,,,,,,,,,,,,
HAC_t_Ucraina (Feb 2022)_Diesel_tau_price,confirmatory,HAC_t,Ucraina (Feb 2022) | Diesel | split=tau_price,0.0077,tau_price,Ucraina (Feb 2022),Diesel,True,0.0077,True,0.0077,primaria,,,,,,,,,,,,,,,,,,,,
MannWhitney_Ucraina (Feb 2022)_Diesel_tau_price,confirmatory,MannWhitney,Ucraina (Feb 2022) | Diesel | split=tau_price,0.0003,tau_price,Ucraina (Feb 2022),Diesel,True,0.0003692307692307,True,0.0003692307692307692,primaria,,,,,,,,,,,,,,,,,,,,
HAC_t_Iran-Israele (Giu 2025)_Benzina_shock_hard,confirmatory,HAC_t,Iran-Israele (Giu 2025) | Benzina | split=shock_hard,0.0,shock_hard,Iran-Israele (Giu 2025),Benzina,True,0.0,True,0.0,primaria,,,,,,,,,,,,,,,,,,,,
MannWhitney_Iran-Israele (Giu 2025)_Benzina_shock_hard,confirmatory,MannWhitney,Iran-Israele (Giu 2025) | Benzina | split=shock_hard,0.0,shock_hard,Iran-Israele (Giu 2025),Benzina,True,0.0,True,0.0,primaria,,,,,,,,,,,,,,,,,,,,
