Tipo,Evento,Carburante,Confronto,obs_delta_med,perm_p,perm_H0,n_perm,block_size,obs_delta,nota
Δmargine_block,Ucraina (Feb 2022),Benzina,IT margine pre vs post,0.07597,0.0141,RIFIUTATA,10000,4.0,,
Δmargine_block,Ucraina (Feb 2022),Diesel,IT margine pre vs post,0.03825,0.0349,RIFIUTATA,10000,4.0,,
Δmargine_block,Iran-Israele (Giu 2025),Benzina,IT margine pre vs post,-0.00605,0.7194,non rifiutata,10000,4.0,,
Δmargine_block,Iran-Israele (Giu 2025),Diesel,IT margine pre vs post,-0.01794,0.923,non rifiutata,10000,4.0,,
DiD_signflip,Ucraina (Feb 2022),Benzina,IT vs Germania,,0.5119,non rifiutata,10000,,-0.0269,sign-flip approximation (non exact permutation)
DiD_signflip,Ucraina (Feb 2022),Diesel,IT vs Germania,,0.5079,non rifiutata,10000,,-0.0343,sign-flip approximation (non exact permutation)
DiD_signflip,Iran-Israele (Giu 2025),Benzina,IT vs Germania,,0.8198,non rifiutata,10000,,0.002,sign-flip approximation (non exact permutation)
DiD_signflip,Iran-Israele (Giu 2025),Diesel,IT vs Germania,,0.5081,non rifiutata,10000,,-0.0102,sign-flip approximation (non exact permutation)
DiD_signflip,Ucraina (Feb 2022),Benzina,IT vs Svezia,,0.6156,non rifiutata,10000,,0.0156,sign-flip approximation (non exact permutation)
DiD_signflip,Ucraina (Feb 2022),Diesel,IT vs Svezia,,0.4988,non rifiutata,10000,,0.0298,sign-flip approximation (non exact permutation)
DiD_signflip,Iran-Israele (Giu 2025),Benzina,IT vs Svezia,,0.5067,non rifiutata,10000,,-0.0108,sign-flip approximation (non exact permutation)
DiD_signflip,Iran-Israele (Giu 2025),Diesel,IT vs Svezia,,0.5177,non rifiutata,10000,,-0.0089,sign-flip approximation (non exact permutation)
Placebo_DiD,Ucraina (Feb 2022),Benzina,IT vs Germania (shock -8w),,,N/A,0,,-0.00497,placebo: shock anticipato 8 settimane
Placebo_DiD,Ucraina (Feb 2022),Diesel,IT vs Germania (shock -8w),,,N/A,0,,-0.04844,placebo: shock anticipato 8 settimane
Placebo_DiD,Iran-Israele (Giu 2025),Benzina,IT vs Germania (shock -8w),,,N/A,0,,-0.02899,placebo: shock anticipato 8 settimane
Placebo_DiD,Iran-Israele (Giu 2025),Diesel,IT vs Germania (shock -8w),,,N/A,0,,-0.02811,placebo: shock anticipato 8 settimane
Placebo_DiD,Ucraina (Feb 2022),Benzina,IT vs Svezia (shock -8w),,,N/A,0,,-0.00497,placebo: shock anticipato 8 settimane
Placebo_DiD,Ucraina (Feb 2022),Diesel,IT vs Svezia (shock -8w),,,N/A,0,,-0.04844,placebo: shock anticipato 8 settimane
Placebo_DiD,Iran-Israele (Giu 2025),Benzina,IT vs Svezia (shock -8w),,,N/A,0,,-0.02899,placebo: shock anticipato 8 settimane
Placebo_DiD,Iran-Israele (Giu 2025),Diesel,IT vs Svezia (shock -8w),,,N/A,0,,-0.02811,placebo: shock anticipato 8 settimane
