metodo,mode,break_method,evento,carburante,shock,break_date,pre_win_days,post_win_days,n_pre,n_post,arima_order,sw_stat,sw_p,lb_stat,lb_p,diag_n_lags,sarima_bench_gain_meur,sarima_bench_rmse,sarima_bench_aic,approccio,extra_mean_eurl,extra_sum_eurl,gain_total_meur,gain_ci_low_meur,gain_ci_high_meur,omega,aic,bic,rmse,mape_pct,best_approach,is_best,transfer_fn,note,sarima_sw_stat,sarima_sw_p,sarima_lb_stat,sarima_lb_p
v3_arimax,detected,glm_poisson_02c,Ucraina (Feb 2022),benzina,2022-02-24,2022-03-09,30,30,30,15,"(1, 0, 2)",0.8066,0.0001,4.088,0.7696,7,1.8,0.17292,-70.03,A,0.10446,1.5669,18.8,6.6,31.0,,-131.99,-124.98,0.16133,290.312,B,False,A: Auto-ARIMA AIC (pre-only forecast),"ITS/ARIMAX, mode=detected, break=glm_poisson_02c",,,,
v3_arimax,detected,glm_poisson_02c,Ucraina (Feb 2022),benzina,2022-02-24,2022-03-09,30,30,30,15,"(1, 0, 2)",0.8066,0.0001,4.088,0.7696,7,1.8,0.17292,-70.03,B,0.10637,1.5955,19.1,-5.7,44.0,,-211.75,-206.14,0.15985,272.912,B,True,B: Holt-Winters ETS trend (pre-only forecast),"ITS/ARIMAX, mode=detected, break=glm_poisson_02c",,,,
v3_arimax,detected,glm_poisson_02c,Ucraina (Feb 2022),benzina,2022-02-24,2022-03-09,30,30,30,15,"(1, 0, 2)",0.8066,0.0001,4.088,0.7696,7,1.8,0.17292,-70.03,C,0.1548,2.322,27.9,16.5,39.2,,-118.98,-116.18,0.19212,185.849,B,False,C: OLS trend lineare (pre-only forecast),"ITS/ARIMAX, mode=detected, break=glm_poisson_02c",,,,
v3_arimax,detected,glm_poisson_02c,Ucraina (Feb 2022),benzina,2022-02-24,2022-03-09,30,30,30,15,"(1, 0, 2)",0.8066,0.0001,4.088,0.7696,7,1.8,0.17292,-70.03,S,0.00982,0.1473,1.8,-39.4,43.0,,-70.03,-68.04,0.17292,600.981,B,False,"SARIMA(0,1,1)(0,1,0)_7","SARIMA(0,1,1)(0,1,0)_12 benchmark, mode=detected",0.7045,0.0,5.051,0.6537
v3_arimax,detected,glm_poisson_02c,Ucraina (Feb 2022),gasolio,2022-02-24,2022-03-11,30,30,30,13,"(1, 0, 0)",0.9579,0.2742,2.482,0.9284,7,96.5,0.34947,-54.09,A,0.19855,2.5812,64.5,14.7,114.3,,-98.12,-93.92,0.28847,108.005,A,True,A: Auto-ARIMA AIC (pre-only forecast),"ITS/ARIMAX, mode=detected, break=glm_poisson_02c",,,,
v3_arimax,detected,glm_poisson_02c,Ucraina (Feb 2022),gasolio,2022-02-24,2022-03-11,30,30,30,13,"(1, 0, 0)",0.9579,0.2742,2.482,0.9284,7,96.5,0.34947,-54.09,B,0.2808,3.6504,91.3,23.0,159.5,,-182.69,-177.09,0.33196,89.899,A,False,B: Holt-Winters ETS trend (pre-only forecast),"ITS/ARIMAX, mode=detected, break=glm_poisson_02c",,,,
v3_arimax,detected,glm_poisson_02c,Ucraina (Feb 2022),gasolio,2022-02-24,2022-03-11,30,30,30,13,"(1, 0, 0)",0.9579,0.2742,2.482,0.9284,7,96.5,0.34947,-54.09,C,0.35056,4.5573,113.9,73.5,154.4,,-78.33,-75.53,0.38682,122.04,A,False,C: OLS trend lineare (pre-only forecast),"ITS/ARIMAX, mode=detected, break=glm_poisson_02c",,,,
v3_arimax,detected,glm_poisson_02c,Ucraina (Feb 2022),gasolio,2022-02-24,2022-03-11,30,30,30,13,"(1, 0, 0)",0.9579,0.2742,2.482,0.9284,7,96.5,0.34947,-54.09,S,0.29679,3.8583,96.5,-2.9,195.8,,-54.09,-52.1,0.34947,88.906,A,False,"SARIMA(0,1,1)(0,1,0)_7","SARIMA(0,1,1)(0,1,0)_12 benchmark, mode=detected",0.9007,0.0088,3.47,0.8384
v3_arimax,detected,glm_poisson_02c,Iran-Israele (Giu 2025),benzina,2025-06-13,2025-06-20,30,30,30,23,"(1, 0, 0)",0.9421,0.1038,3.241,0.8619,7,4.8,0.02269,-150.76,A,0.02887,0.664,8.0,4.7,11.3,,-248.64,-244.44,0.03067,10.695,A,True,A: Auto-ARIMA AIC (pre-only forecast),"ITS/ARIMAX, mode=detected, break=glm_poisson_02c",,,,
v3_arimax,detected,glm_poisson_02c,Iran-Israele (Giu 2025),benzina,2025-06-13,2025-06-20,30,30,30,23,"(1, 0, 0)",0.9421,0.1038,3.241,0.8619,7,4.8,0.02269,-150.76,B,0.031,0.7131,8.6,2.2,14.9,,-331.34,-325.73,0.03265,11.499,A,False,B: Holt-Winters ETS trend (pre-only forecast),"ITS/ARIMAX, mode=detected, break=glm_poisson_02c",,,,
