data,effettivo_eurl,controfattuale_eurl,fitted_sarimax_eurl,pulse_covariata,pct_vs_controfattuale,effetto_giornaliero_meur,effetto_cumulato_meur
2026-02-27,0.26533,0.26048,0.28648,1.0,1.86,0.058,0.058
2026-02-28,0.26685,0.258,0.28399,1.0,3.43,0.106,0.164
2026-03-01,0.24387,0.25598,0.28198,1.0,-4.73,-0.145,0.019
2026-03-02,0.21857,0.25416,0.28015,1.0,-14.0,-0.427,-0.408
2026-03-03,0.23003,0.25244,0.27844,1.0,-8.88,-0.269,-0.677
2026-03-04,0.23108,0.2508,0.27679,1.0,-7.86,-0.237,-0.913
2026-03-05,0.25087,0.24921,0.27521,1.0,0.67,0.02,-0.894
2026-03-06,0.27026,0.24769,0.27368,1.0,9.11,0.271,-0.623
2026-03-07,0.28471,0.24621,0.27221,1.0,15.64,0.462,-0.161
2026-03-08,0.24628,0.24479,0.27078,1.0,0.61,0.018,-0.143
2026-03-09,0.2647,0.24341,0.26941,1.0,8.75,0.255,0.113
2026-03-10,0.26439,0.24208,0.26808,1.0,9.22,0.268,0.381
2026-03-11,0.24527,0.24079,0.26679,1.0,1.86,0.054,0.434
2026-03-12,0.23798,0.23955,0.26555,1.0,-0.66,-0.019,0.415
2026-03-13,0.24565,0.23835,0.26435,1.0,3.06,0.088,0.503
2026-03-14,0.25849,0.23719,0.26319,1.0,8.98,0.256,0.759
2026-03-15,0.2618,0.23607,0.26207,1.0,10.9,0.309,1.067
2026-03-16,0.23469,0.23499,0.26098,1.0,-0.12,-0.004,1.064
2026-03-17,0.24846,0.23394,0.25994,1.0,6.21,0.174,1.238
2026-03-18,0.25591,0.23293,0.25893,1.0,9.87,0.276,1.514
2026-03-19,0.26468,0.23195,0.25795,1.0,14.11,0.393,1.907
2026-03-20,0.11474,0.23101,0.257,1.0,-50.33,-1.395,0.511
2026-03-21,0.09428,0.23009,0.25609,1.0,-59.03,-1.63,-1.118
2026-03-22,0.12343,0.22921,0.25521,1.0,-46.15,-1.269,-2.388
2026-03-23,0.33093,0.22836,0.25436,1.0,44.92,1.231,-1.157
2026-03-24,0.3543,0.22754,0.25353,1.0,55.71,1.521,0.364
2026-03-25,0.35691,0.22674,0.25274,1.0,57.41,1.562,1.926
2026-03-26,0.35271,0.22597,0.25197,1.0,56.08,1.521,3.447
2026-03-27,0.35334,0.22523,0.25123,1.0,56.88,1.537,4.985
2026-03-28,0.35466,0.22451,0.25051,1.0,57.97,1.562,6.546
2026-03-29,0.35134,0.22382,0.24982,1.0,56.97,1.53,8.076
2026-03-30,0.30259,0.22315,0.24915,1.0,35.6,0.953,9.03
2026-03-31,0.32794,0.2225,0.2485,1.0,47.39,1.265,10.295
