data,effettivo_eurl,controfattuale_eurl,fitted_sarimax_eurl,pulse_covariata,pct_vs_controfattuale,effetto_giornaliero_meur,effetto_cumulato_meur
2026-03-01,0.1484,0.21042,0.09577,1.0,-29.47,-1.55,-1.55
2026-03-02,0.11146,0.2096,0.10232,0.9358,-46.83,-2.454,-4.004
2026-03-03,0.04496,0.20841,0.10802,0.8757,-78.43,-4.086,-8.09
2026-03-04,0.10939,0.2073,0.11336,0.8194,-47.23,-2.448,-10.538
2026-03-05,0.08204,0.20628,0.11836,0.7668,-60.23,-3.106,-13.644
2026-03-06,0.0889,0.20532,0.12306,0.7175,-56.7,-2.91,-16.555
2026-03-07,0.12878,0.20443,0.12745,0.6714,-37.01,-1.891,-18.446
2026-03-08,0.02588,0.20361,0.13157,0.6283,-87.29,-4.443,-22.889
2026-03-09,0.10815,0.20284,0.13543,0.588,-46.68,-2.367,-25.256
2026-03-10,0.2476,0.20213,0.13905,0.5502,22.49,1.137,-24.12
2026-03-11,0.22492,0.20147,0.14244,0.5148,11.64,0.586,-23.533
2026-03-12,0.22307,0.20085,0.14562,0.4818,11.06,0.556,-22.978
2026-03-13,0.20754,0.20028,0.14859,0.4508,3.63,0.182,-22.796
2026-03-14,0.22599,0.19975,0.15138,0.4219,13.14,0.656,-22.14
2026-03-15,0.20966,0.19926,0.15399,0.3948,5.22,0.26,-21.88
2026-03-16,0.17741,0.1988,0.15644,0.3694,-10.76,-0.535,-22.415
2026-03-17,0.19564,0.19837,0.15874,0.3457,-1.38,-0.068,-22.483
2026-03-18,0.14662,0.19798,0.16089,0.3235,-25.94,-1.284,-23.767
2026-03-19,0.10908,0.19761,0.1629,0.3027,-44.8,-2.213,-25.98
2026-03-20,-0.03934,0.19727,0.16479,0.2833,-119.94,-5.915,-31.896
2026-03-21,-0.05103,0.19695,0.16656,0.2651,-125.91,-6.2,-38.095
2026-03-22,-0.05354,0.19666,0.16822,0.248,-127.23,-6.255,-44.35
2026-03-23,0.21222,0.19638,0.16977,0.2321,8.06,0.396,-43.954
2026-03-24,0.24571,0.19613,0.17122,0.2172,25.28,1.24,-42.715
2026-03-25,0.34336,0.19589,0.17259,0.2033,75.28,3.687,-39.028
2026-03-26,0.23141,0.19567,0.17386,0.1902,18.27,0.894,-38.134
2026-03-27,0.20554,0.19547,0.17506,0.178,5.15,0.252,-37.883
2026-03-28,0.2128,0.19528,0.17618,0.1665,8.97,0.438,-37.445
2026-03-29,0.17324,0.1951,0.17723,0.1558,-11.2,-0.546,-37.991
