data,effettivo_eurl,controfattuale_eurl,fitted_sarimax_eurl,pulse_covariata,pct_vs_controfattuale,effetto_giornaliero_meur,effetto_cumulato_meur
2025-06-20,0.24767,0.2373,0.27815,1.0,4.37,0.124,0.124
2025-06-21,0.25581,0.23632,0.27716,1.0,8.25,0.234,0.358
2025-06-22,0.26448,0.23512,0.27596,1.0,12.49,0.352,0.711
2025-06-23,0.25847,0.23387,0.27472,1.0,10.52,0.295,1.006
2025-06-24,0.27193,0.23264,0.27348,1.0,16.89,0.472,1.477
2025-06-25,0.27299,0.23144,0.27228,1.0,17.96,0.499,1.976
2025-06-26,0.27546,0.23027,0.27112,1.0,19.62,0.542,2.518
2025-06-27,0.27405,0.22915,0.27,1.0,19.59,0.539,3.057
2025-06-28,0.27157,0.22807,0.26892,1.0,19.07,0.522,3.579
2025-06-29,0.29318,0.22703,0.26788,1.0,29.13,0.794,4.373
2025-06-30,0.2842,0.22603,0.26688,1.0,25.73,0.698,5.071
2025-07-01,0.28145,0.22507,0.26591,1.0,25.05,0.677,5.747
2025-07-02,0.27478,0.22414,0.26499,1.0,22.59,0.608,6.355
2025-07-03,0.26505,0.22325,0.26409,1.0,18.72,0.502,6.857
2025-07-04,0.26286,0.22239,0.26323,1.0,18.2,0.486,7.342
2025-07-05,0.26163,0.22156,0.26241,1.0,18.08,0.481,7.823
2025-07-06,0.26124,0.22077,0.26161,1.0,18.33,0.486,8.309
2025-07-07,0.25887,0.22,0.26084,1.0,17.67,0.466,8.775
2025-07-08,0.25806,0.21926,0.2601,1.0,17.7,0.466,9.241
2025-07-09,0.26267,0.21855,0.25939,1.0,20.19,0.529,9.77
2025-07-10,0.25876,0.21787,0.25871,1.0,18.77,0.491,10.261
2025-07-11,0.25927,0.21721,0.25805,1.0,19.36,0.505,10.766
2025-07-12,0.25885,0.21657,0.25742,1.0,19.52,0.507,11.273
