data,effettivo_eurl,controfattuale_eurl,fitted_sarimax_eurl,pulse_covariata,pct_vs_controfattuale,effetto_giornaliero_meur,effetto_cumulato_meur
2025-06-03,0.21631,0.21956,0.22906,1.0,-1.48,-0.081,-0.081
2025-06-04,0.21887,0.2171,0.2266,1.0,0.82,0.044,-0.037
2025-06-05,0.21432,0.21498,0.22448,1.0,-0.31,-0.017,-0.053
2025-06-06,0.2113,0.21306,0.22256,1.0,-0.83,-0.044,-0.097
2025-06-07,0.21125,0.21128,0.22079,1.0,-0.02,-0.001,-0.098
2025-06-08,0.20691,0.20965,0.21915,1.0,-1.3,-0.068,-0.167
2025-06-09,0.20088,0.20814,0.21764,1.0,-3.49,-0.181,-0.348
2025-06-10,0.19597,0.20674,0.21624,1.0,-5.21,-0.269,-0.617
2025-06-11,0.20263,0.20545,0.21496,1.0,-1.37,-0.071,-0.688
2025-06-12,0.20636,0.20426,0.21376,1.0,1.03,0.052,-0.635
2025-06-13,0.18346,0.20316,0.21266,1.0,-9.7,-0.493,-1.128
2025-06-14,0.18987,0.20215,0.21165,1.0,-6.07,-0.307,-1.435
2025-06-15,0.1668,0.20121,0.21071,1.0,-17.1,-0.86,-2.295
2025-06-16,0.18788,0.20034,0.20984,1.0,-6.22,-0.311,-2.606
2025-06-17,0.16287,0.19954,0.20904,1.0,-18.38,-0.917,-3.523
2025-06-18,0.16407,0.1988,0.2083,1.0,-17.47,-0.868,-4.391
2025-06-19,0.12944,0.19811,0.20762,1.0,-34.66,-1.717,-6.108
2025-06-20,0.17546,0.19748,0.20699,1.0,-11.15,-0.551,-6.659
2025-06-21,0.19238,0.1969,0.2064,1.0,-2.3,-0.113,-6.772
2025-06-22,0.16977,0.19636,0.20586,1.0,-13.54,-0.665,-7.437
2025-06-23,0.19955,0.19586,0.20537,1.0,1.88,0.092,-7.345
2025-06-24,0.26821,0.1954,0.20491,1.0,37.26,1.82,-5.524
2025-06-25,0.26048,0.19498,0.20448,1.0,33.6,1.638,-3.887
2025-06-26,0.25607,0.19459,0.20409,1.0,31.6,1.537,-2.35
2025-06-27,0.26785,0.19422,0.20373,1.0,37.91,1.841,-0.509
2025-06-28,0.26522,0.19389,0.20339,1.0,36.79,1.783,1.274
2025-06-29,0.27306,0.19358,0.20308,1.0,41.06,1.987,3.261
2025-06-30,0.2583,0.1933,0.2028,1.0,33.63,1.625,4.886
2025-07-01,0.24406,0.19303,0.20253,1.0,26.44,1.276,6.162
2025-07-02,0.23055,0.19279,0.20229,1.0,19.59,0.944,7.106
2025-07-03,0.21874,0.19256,0.20207,1.0,13.6,0.655,7.761
2025-07-04,0.20112,0.19235,0.20186,1.0,4.56,0.219,7.98
2025-07-05,0.20045,0.19216,0.20167,1.0,4.31,0.207,8.187
2025-07-06,0.2058,0.19199,0.20149,1.0,7.19,0.345,8.532
2025-07-07,0.19891,0.19182,0.20132,1.0,3.7,0.177,8.709
2025-07-08,0.18321,0.19167,0.20117,1.0,-4.41,-0.212,8.498
2025-07-09,0.17831,0.19153,0.20103,1.0,-6.9,-0.33,8.168
2025-07-10,0.1796,0.1914,0.2009,1.0,-6.17,-0.295,7.872
2025-07-11,0.22356,0.19128,0.20078,1.0,16.88,0.807,8.679
2025-07-12,0.22411,0.19117,0.20067,1.0,17.23,0.824,9.503
