data,effettivo_eurl,controfattuale_eurl,fitted_sarimax_eurl,pulse_covariata,pct_vs_controfattuale,effetto_giornaliero_meur,effetto_cumulato_meur
2022-03-09,0.27687,0.18628,0.37933,1.0,48.63,1.087,1.087
2022-03-10,0.31941,0.18203,0.3524,0.8825,75.47,1.649,2.736
2022-03-11,0.34141,0.182,0.33235,0.7788,87.59,1.913,4.649
2022-03-12,0.35201,0.18196,0.31465,0.6873,93.45,2.041,6.689
2022-03-13,0.37008,0.18193,0.29902,0.6066,103.42,2.258,8.947
2022-03-14,0.35281,0.18189,0.28523,0.5353,93.97,2.051,10.998
2022-03-17,0.33505,0.18186,0.27306,0.4724,84.23,1.838,12.836
2022-03-18,0.34794,0.18183,0.26231,0.4169,91.35,1.993,14.829
2022-03-19,0.31256,0.1818,0.25282,0.3679,71.93,1.569,16.399
2022-03-20,0.29583,0.18177,0.24445,0.3247,62.76,1.369,17.767
2022-03-21,0.29534,0.18173,0.23705,0.2865,62.51,1.363,19.131
2022-03-22,0.27475,0.1817,0.23052,0.2529,51.21,1.117,20.247
2022-03-23,0.07014,0.18168,0.22476,0.2232,-61.39,-1.338,18.909
2022-03-24,0.00809,0.18165,0.21967,0.1969,-95.54,-2.083,16.826
2022-03-25,0.0092,0.18162,0.21517,0.1738,-94.93,-2.069,14.757
