data,effettivo_eurl,controfattuale_eurl,fitted_sarimax_eurl,pulse_covariata,pct_vs_controfattuale,effetto_giornaliero_meur,effetto_cumulato_meur
2022-03-11,0.42333,0.01261,0.54841,1.0,3257.88,10.268,10.268
2022-03-12,0.43416,0.00231,0.46639,0.8661,18723.17,10.796,21.064
2022-03-13,0.43666,-0.01437,0.38759,0.7502,-3139.58,11.276,32.34
2022-03-14,0.41052,-0.02153,0.32663,0.6498,-2007.02,10.801,43.141
2022-03-17,0.34586,-0.01347,0.28808,0.5628,-2667.53,8.983,52.124
2022-03-18,0.36004,0.00102,0.2622,0.4875,35118.48,8.975,61.1
2022-03-19,0.31526,0.00806,0.23428,0.4222,3810.04,7.68,68.78
2022-03-20,0.27418,0.00187,0.19781,0.3657,14576.98,6.808,75.587
2022-03-21,0.22547,-0.01067,0.15904,0.3167,-2213.13,5.904,81.491
2022-03-22,0.19746,-0.01747,0.12953,0.2743,-1230.55,5.373,86.864
2022-03-23,-0.05996,-0.0128,0.11451,0.2376,368.26,-1.179,85.685
2022-03-24,-0.11774,-0.00201,0.10826,0.2058,5760.61,-2.893,82.792
2022-03-25,-0.08154,0.00445,0.09996,0.1783,-1930.95,-2.15,80.642
