metodo,mode,break_method,evento,carburante,shock,break_date,pre_win_days,post_win_days,n_pre,n_post,arima_order,adf_pvalue_pre,ccf_b,ccf_r,ccf_s,ccf_interpretation,best_approach,approccio,gain_total_meur,gain_ci_low_meur,gain_ci_high_meur,omega,aic,bic,rmse,mape_pct,converged,is_best,note
v4_transfer,detected,glm_poisson_02c,Ucraina (Feb 2022),benzina,2022-02-24,2022-03-09,30,30,2598,15,"(1, 0, 2)",0.0001,14,1,1,"b=14 (effetto inizia al lag 14), s=1 (transitorio 1 periodi), r=1 (decadimento esponenziale)",F,D,14.8,5.5,24.0,-0.16409,-1278.96,-1267.22,0.27429,94.27,True,False,"ITS CCF+Transfer, mode=detected"
v4_transfer,detected,glm_poisson_02c,Ucraina (Feb 2022),benzina,2022-02-24,2022-03-09,30,30,2598,15,"(1, 0, 2)",0.0001,14,1,1,"b=14 (effetto inizia al lag 14), s=1 (transitorio 1 periodi), r=1 (decadimento esponenziale)",F,E,14.8,5.5,24.0,-0.00306,-17498.26,-17463.06,0.13876,212.181,True,False,"ITS CCF+Transfer, mode=detected"
v4_transfer,detected,glm_poisson_02c,Ucraina (Feb 2022),benzina,2022-02-24,2022-03-09,30,30,2598,15,"(1, 0, 2)",0.0001,14,1,1,"b=14 (effetto inizia al lag 14), s=1 (transitorio 1 periodi), r=1 (decadimento esponenziale)",F,F,14.8,5.5,24.0,0.19305,-17523.97,-17488.76,0.10215,352.418,True,True,"ITS CCF+Transfer, mode=detected"
v4_transfer,detected,glm_poisson_02c,Ucraina (Feb 2022),gasolio,2022-02-24,2022-03-11,30,30,1871,13,"(2, 1, 2)",0.2723,0,2,1,"b=0 (effetto inizia al lag 0), s=1 (transitorio 1 periodi), r=2 (sinusoidale smorzato)",F,D,80.6,51.7,109.6,0.40639,-11710.94,-11694.32,0.25146,162.053,True,False,"ITS CCF+Transfer, mode=detected"
v4_transfer,detected,glm_poisson_02c,Ucraina (Feb 2022),gasolio,2022-02-24,2022-03-11,30,30,1871,13,"(2, 1, 2)",0.2723,0,2,1,"b=0 (effetto inizia al lag 0), s=1 (transitorio 1 periodi), r=2 (sinusoidale smorzato)",F,E,80.6,51.7,109.6,-0.36581,-10848.82,-10810.05,0.31119,97.319,True,False,"ITS CCF+Transfer, mode=detected"
v4_transfer,detected,glm_poisson_02c,Ucraina (Feb 2022),gasolio,2022-02-24,2022-03-11,30,30,1871,13,"(2, 1, 2)",0.2723,0,2,1,"b=0 (effetto inizia al lag 0), s=1 (transitorio 1 periodi), r=2 (sinusoidale smorzato)",F,F,80.6,51.7,109.6,0.53581,-11793.89,-11755.12,0.116,71.958,True,True,"ITS CCF+Transfer, mode=detected"
v4_transfer,detected,glm_poisson_02c,Iran-Israele (Giu 2025),benzina,2025-06-13,2025-06-20,30,30,3794,23,"(2, 0, 1)",0.0005,0,2,1,"b=0 (effetto inizia al lag 0), s=1 (transitorio 1 periodi), r=2 (sinusoidale smorzato)",F,D,11.3,10.2,12.4,-0.38181,606.53,619.03,0.42281,158.588,True,False,"ITS CCF+Transfer, mode=detected"
v4_transfer,detected,glm_poisson_02c,Iran-Israele (Giu 2025),benzina,2025-06-13,2025-06-20,30,30,3794,23,"(2, 0, 1)",0.0005,0,2,1,"b=0 (effetto inizia al lag 0), s=1 (transitorio 1 periodi), r=2 (sinusoidale smorzato)",F,E,11.3,10.2,12.4,0.00748,-23411.29,-23373.81,0.03652,12.814,True,False,"ITS CCF+Transfer, mode=detected"
v4_transfer,detected,glm_poisson_02c,Iran-Israele (Giu 2025),benzina,2025-06-13,2025-06-20,30,30,3794,23,"(2, 0, 1)",0.0005,0,2,1,"b=0 (effetto inizia al lag 0), s=1 (transitorio 1 periodi), r=2 (sinusoidale smorzato)",F,F,11.3,10.2,12.4,0.04084,-23412.8,-23375.32,0.01166,2.814,True,True,"ITS CCF+Transfer, mode=detected"
v4_transfer,detected,glm_poisson_02c,Iran-Israele (Giu 2025),gasolio,2025-06-13,2025-06-03,30,30,3048,40,"(2, 0, 2)",0.0009,0,1,13,"b=0 (effetto inizia al lag 0), s=13 (transitorio 13 periodi), r=1 (decadimento esponenziale)",F,D,9.5,0.4,18.6,-0.4594,-2202.9,-2190.83,0.47021,227.99,True,False,"ITS CCF+Transfer, mode=detected"
