metodo,mode,break_method,evento,carburante,shock,break_date,pre_win_days,post_win_days,n_pre,n_post,arima_order,sw_stat,sw_p,lb_stat,lb_p,diag_n_lags,sarima_bench_gain_meur,sarima_bench_rmse,sarima_bench_aic,approccio,extra_mean_eurl,extra_sum_eurl,gain_total_meur,gain_ci_low_meur,gain_ci_high_meur,omega,aic,bic,rmse,mape_pct,best_approach,is_best,transfer_fn,note,sarima_sw_stat,sarima_sw_p,sarima_lb_stat,sarima_lb_p
v3_arimax,detected,glm_poisson_02c,Ucraina (Feb 2022),benzina,2022-02-24,2022-03-04,30,30,30,20,"(2, 1, 0)",0.4955,0.0,0.199,1.0,7,81.2,0.37584,-101.27,A,0.21465,4.2931,51.5,15.1,87.9,,-164.78,-160.68,0.25135,89.325,C,False,A: Auto-ARIMA AIC (pre-only forecast),"ITS/ARIMAX, mode=detected, break=glm_poisson_02c",,,,
v3_arimax,detected,glm_poisson_02c,Ucraina (Feb 2022),benzina,2022-02-24,2022-03-04,30,30,30,20,"(2, 1, 0)",0.4955,0.0,0.199,1.0,7,81.2,0.37584,-101.27,B,0.43131,8.6261,103.5,84.6,122.4,,-252.54,-246.94,0.47219,678.954,C,False,B: Holt-Winters ETS trend (pre-only forecast),"ITS/ARIMAX, mode=detected, break=glm_poisson_02c",,,,
v3_arimax,detected,glm_poisson_02c,Ucraina (Feb 2022),benzina,2022-02-24,2022-03-04,30,30,30,20,"(2, 1, 0)",0.4955,0.0,0.199,1.0,7,81.2,0.37584,-101.27,C,0.08214,1.6428,19.7,6.3,33.2,,-126.25,-123.45,0.14799,198.251,C,True,C: OLS trend lineare (pre-only forecast),"ITS/ARIMAX, mode=detected, break=glm_poisson_02c",,,,
v3_arimax,detected,glm_poisson_02c,Ucraina (Feb 2022),benzina,2022-02-24,2022-03-04,30,30,30,20,"(2, 1, 0)",0.4955,0.0,0.199,1.0,7,81.2,0.37584,-101.27,S,0.33832,6.7664,81.2,44.7,117.7,,-101.27,-99.27,0.37584,468.383,C,False,"SARIMA(0,1,1)(0,1,0)_7","SARIMA(0,1,1)(0,1,0)_12 benchmark, mode=detected",0.6217,0.0,8.063,0.327
v3_arimax,detected,glm_poisson_02c,Ucraina (Feb 2022),gasolio,2022-02-24,2022-03-05,30,30,30,19,"(1, 1, 2)",0.7638,0.0,1.398,0.9856,7,202.5,0.51543,-75.9,A,0.22064,4.1922,104.8,2.6,207.0,,-133.81,-128.34,0.31351,191.41,C,False,A: Auto-ARIMA AIC (pre-only forecast),"ITS/ARIMAX, mode=detected, break=glm_poisson_02c",,,,
v3_arimax,detected,glm_poisson_02c,Ucraina (Feb 2022),gasolio,2022-02-24,2022-03-05,30,30,30,19,"(1, 1, 2)",0.7638,0.0,1.398,0.9856,7,202.5,0.51543,-75.9,B,0.56096,10.6583,266.5,206.9,326.0,,-223.22,-217.61,0.6477,582.929,C,False,B: Holt-Winters ETS trend (pre-only forecast),"ITS/ARIMAX, mode=detected, break=glm_poisson_02c",,,,
v3_arimax,detected,glm_poisson_02c,Ucraina (Feb 2022),gasolio,2022-02-24,2022-03-05,30,30,30,19,"(1, 1, 2)",0.7638,0.0,1.398,0.9856,7,202.5,0.51543,-75.9,C,0.07627,1.4491,36.2,-8.1,80.5,,-95.63,-92.82,0.23627,222.305,C,True,C: OLS trend lineare (pre-only forecast),"ITS/ARIMAX, mode=detected, break=glm_poisson_02c",,,,
v3_arimax,detected,glm_poisson_02c,Ucraina (Feb 2022),gasolio,2022-02-24,2022-03-05,30,30,30,19,"(1, 1, 2)",0.7638,0.0,1.398,0.9856,7,202.5,0.51543,-75.9,S,0.42633,8.1002,202.5,100.7,304.3,,-75.9,-73.91,0.51543,405.052,C,False,"SARIMA(0,1,1)(0,1,0)_7","SARIMA(0,1,1)(0,1,0)_12 benchmark, mode=detected",0.8433,0.0004,9.416,0.2242
v3_arimax,detected,glm_poisson_02c,Iran-Israele (Giu 2025),benzina,2025-06-13,2025-06-17,30,30,30,26,"(1, 0, 0)",0.9349,0.0663,1.851,0.9676,7,15.0,0.05114,-159.6,A,0.03036,0.7893,9.5,5.2,13.8,,-241.55,-237.34,0.03324,11.296,A,True,A: Auto-ARIMA AIC (pre-only forecast),"ITS/ARIMAX, mode=detected, break=glm_poisson_02c",,,,
v3_arimax,detected,glm_poisson_02c,Iran-Israele (Giu 2025),benzina,2025-06-13,2025-06-17,30,30,30,26,"(1, 0, 0)",0.9349,0.0663,1.851,0.9676,7,15.0,0.05114,-159.6,B,0.04559,1.1853,14.2,5.8,22.7,,-324.03,-318.42,0.0487,17.042,A,False,B: Holt-Winters ETS trend (pre-only forecast),"ITS/ARIMAX, mode=detected, break=glm_poisson_02c",,,,
