data,effettivo_eurl,controfattuale_eurl,fitted_sarimax_eurl,pulse_covariata,pct_vs_controfattuale,effetto_giornaliero_meur,effetto_cumulato_meur
2026-01-29,0.2714,0.29526,0.31959,1.0,-8.08,-0.286,-0.286
2026-01-30,0.27341,0.29247,0.3168,1.0,-6.51,-0.229,-0.515
2026-01-31,0.27385,0.28955,0.31389,1.0,-5.42,-0.188,-0.703
2026-02-01,0.28797,0.28667,0.311,1.0,0.45,0.016,-0.688
2026-02-02,0.27922,0.28386,0.30819,1.0,-1.63,-0.056,-0.743
2026-02-03,0.26931,0.28113,0.30546,1.0,-4.21,-0.142,-0.885
2026-02-04,0.2688,0.2785,0.30283,1.0,-3.48,-0.116,-1.001
2026-02-05,0.27143,0.27595,0.30028,1.0,-1.64,-0.054,-1.056
2026-02-06,0.27152,0.27349,0.29782,1.0,-0.72,-0.024,-1.079
2026-02-07,0.27148,0.27111,0.29544,1.0,0.14,0.004,-1.075
2026-02-08,0.2666,0.26881,0.29314,1.0,-0.82,-0.026,-1.101
2026-02-09,0.26748,0.26659,0.29092,1.0,0.33,0.011,-1.091
2026-02-10,0.26959,0.26445,0.28878,1.0,1.94,0.062,-1.029
2026-02-11,0.27755,0.26238,0.28671,1.0,5.78,0.182,-0.847
2026-02-12,0.27863,0.26038,0.28471,1.0,7.01,0.219,-0.628
2026-02-13,0.28026,0.25844,0.28278,1.0,8.44,0.262,-0.366
2026-02-14,0.28022,0.25658,0.28091,1.0,9.22,0.284,-0.082
2026-02-15,0.28087,0.25477,0.2791,1.0,10.24,0.313,0.231
2026-02-16,0.2803,0.25303,0.27736,1.0,10.78,0.327,0.558
2026-02-17,0.27393,0.25135,0.27568,1.0,8.99,0.271,0.829
2026-02-18,0.27008,0.24972,0.27405,1.0,8.15,0.244,1.074
2026-02-19,0.26839,0.24815,0.27248,1.0,8.16,0.243,1.316
2026-02-20,0.27206,0.24663,0.27096,1.0,10.31,0.305,1.622
2026-02-21,0.27668,0.24516,0.2695,1.0,12.85,0.378,2.0
2026-02-22,0.27843,0.24375,0.26808,1.0,14.23,0.416,2.416
2026-02-23,0.27912,0.24238,0.26671,1.0,15.16,0.441,2.857
2026-02-24,0.28073,0.24106,0.26539,1.0,16.46,0.476,3.333
2026-02-25,0.28303,0.23978,0.26411,1.0,18.04,0.519,3.852
2026-02-26,0.26423,0.23855,0.26288,1.0,10.77,0.308,4.16
2026-02-27,0.26533,0.23735,0.26169,1.0,11.79,0.336,4.496
2026-02-28,0.26685,0.2362,0.26054,1.0,12.97,0.368,4.863
2026-03-01,0.24387,0.23509,0.25942,1.0,3.74,0.105,4.969
2026-03-02,0.21857,0.23402,0.25835,1.0,-6.6,-0.185,4.783
2026-03-03,0.23003,0.23298,0.25731,1.0,-1.27,-0.035,4.748
2026-03-04,0.23108,0.23198,0.25631,1.0,-0.38,-0.011,4.737
2026-03-05,0.25087,0.23101,0.25534,1.0,8.6,0.238,4.976
2026-03-06,0.27026,0.23007,0.2544,1.0,17.47,0.482,5.458
2026-03-07,0.28471,0.22917,0.2535,1.0,24.24,0.667,6.125
2026-03-08,0.24628,0.22829,0.25263,1.0,7.88,0.216,6.34
2026-03-09,0.2647,0.22745,0.25178,1.0,16.38,0.447,6.787
2026-03-10,0.26439,0.22664,0.25097,1.0,16.66,0.453,7.24
2026-03-11,0.24527,0.22585,0.25018,1.0,8.6,0.233,7.474
2026-03-12,0.23798,0.22509,0.24942,1.0,5.73,0.155,7.628
2026-03-13,0.24565,0.22435,0.24869,1.0,9.49,0.256,7.884
2026-03-14,0.25849,0.22364,0.24798,1.0,15.58,0.418,8.302
2026-03-15,0.2618,0.22296,0.24729,1.0,17.42,0.466,8.768
2026-03-16,0.23469,0.22229,0.24663,1.0,5.58,0.149,8.917
2026-03-17,0.24846,0.22165,0.24599,1.0,12.09,0.322,9.239
2026-03-18,0.25591,0.22104,0.24537,1.0,15.78,0.419,9.657
2026-03-19,0.26468,0.22044,0.24477,1.0,20.07,0.531,10.188
2026-03-20,0.11474,0.21986,0.24419,1.0,-47.81,-1.261,8.926
2026-03-21,0.09428,0.2193,0.24364,1.0,-57.01,-1.5,7.426
2026-03-22,0.12343,0.21877,0.2431,1.0,-43.58,-1.144,6.282
2026-03-23,0.33093,0.21825,0.24258,1.0,51.63,1.352,7.634
2026-03-24,0.3543,0.21774,0.24208,1.0,62.72,1.639,9.273
2026-03-25,0.35691,0.21726,0.24159,1.0,64.28,1.676,10.949
2026-03-26,0.35271,0.21679,0.24112,1.0,62.7,1.631,12.58
2026-03-27,0.35334,0.21634,0.24067,1.0,63.33,1.644,14.224
2026-03-28,0.35466,0.2159,0.24023,1.0,64.27,1.665,15.889
2026-03-29,0.35134,0.21548,0.23981,1.0,63.05,1.63,17.519
