data,effettivo_eurl,controfattuale_eurl,fitted_sarimax_eurl,pulse_covariata,pct_vs_controfattuale,effetto_giornaliero_meur,effetto_cumulato_meur
2026-01-29,0.20819,0.21814,0.20497,1.0,-4.56,-0.249,-0.249
2026-01-30,0.18595,0.21602,0.20285,1.0,-13.92,-0.752,-1.001
2026-01-31,0.19234,0.21435,0.20119,1.0,-10.27,-0.55,-1.551
2026-02-01,0.22008,0.21281,0.19964,1.0,3.42,0.182,-1.369
2026-02-02,0.22861,0.21137,0.1982,1.0,8.15,0.431,-0.938
2026-02-03,0.22692,0.21003,0.19687,1.0,8.04,0.422,-0.516
2026-02-04,0.22671,0.20879,0.19562,1.0,8.58,0.448,-0.068
2026-02-05,0.22679,0.20764,0.19447,1.0,9.22,0.479,0.411
2026-02-06,0.21918,0.20657,0.1934,1.0,6.11,0.315,0.726
2026-02-07,0.21953,0.20557,0.19241,1.0,6.79,0.349,1.075
2026-02-08,0.22858,0.20465,0.19148,1.0,11.69,0.598,1.673
2026-02-09,0.22427,0.20379,0.19062,1.0,10.05,0.512,2.185
2026-02-10,0.23487,0.20299,0.18982,1.0,15.7,0.797,2.982
2026-02-11,0.22473,0.20225,0.18908,1.0,11.11,0.562,3.544
2026-02-12,0.22529,0.20156,0.18839,1.0,11.77,0.593,4.137
2026-02-13,0.24506,0.20092,0.18775,1.0,21.97,1.103,5.24
2026-02-14,0.24549,0.20033,0.18716,1.0,22.55,1.129,6.37
2026-02-15,0.24678,0.19978,0.18661,1.0,23.53,1.175,7.545
2026-02-16,0.2402,0.19926,0.18609,1.0,20.55,1.023,8.568
2026-02-17,0.24437,0.19878,0.18562,1.0,22.93,1.14,9.708
2026-02-18,0.22521,0.19834,0.18517,1.0,13.55,0.672,10.38
2026-02-19,0.20192,0.19793,0.18476,1.0,2.02,0.1,10.48
2026-02-20,0.2013,0.19755,0.18438,1.0,1.9,0.094,10.573
2026-02-21,0.20631,0.19719,0.18402,1.0,4.63,0.228,10.801
2026-02-22,0.21709,0.19686,0.18369,1.0,10.28,0.506,11.307
2026-02-23,0.19993,0.19656,0.18339,1.0,1.72,0.084,11.392
2026-02-24,0.21291,0.19627,0.1831,1.0,8.48,0.416,11.808
2026-02-25,0.21729,0.19601,0.18284,1.0,10.86,0.532,12.34
2026-02-26,0.20549,0.19576,0.18259,1.0,4.97,0.243,12.583
2026-02-27,0.20663,0.19553,0.18236,1.0,5.68,0.278,12.861
2026-02-28,0.21052,0.19532,0.18215,1.0,7.78,0.38,13.241
2026-03-01,0.1484,0.19512,0.18195,1.0,-23.94,-1.168,12.073
2026-03-02,0.11146,0.19494,0.18177,1.0,-42.82,-2.087,9.986
2026-03-03,0.04496,0.19477,0.1816,1.0,-76.92,-3.745,6.24
2026-03-04,0.10939,0.19461,0.18144,1.0,-43.79,-2.131,4.11
2026-03-05,0.08204,0.19446,0.18129,1.0,-57.81,-2.811,1.299
2026-03-06,0.0889,0.19432,0.18116,1.0,-54.25,-2.636,-1.336
2026-03-07,0.12878,0.1942,0.18103,1.0,-33.69,-1.635,-2.972
2026-03-08,0.02588,0.19408,0.18091,1.0,-86.66,-4.205,-7.177
2026-03-09,0.10815,0.19397,0.1808,1.0,-44.24,-2.145,-9.322
2026-03-10,0.2476,0.19387,0.1807,1.0,27.71,1.343,-7.979
2026-03-11,0.22492,0.19377,0.1806,1.0,16.08,0.779,-7.2
2026-03-12,0.22307,0.19369,0.18052,1.0,15.17,0.735,-6.466
2026-03-13,0.20754,0.1936,0.18043,1.0,7.2,0.348,-6.117
2026-03-14,0.22599,0.19353,0.18036,1.0,16.77,0.812,-5.306
2026-03-15,0.20966,0.19346,0.18029,1.0,8.37,0.405,-4.901
2026-03-16,0.17741,0.19339,0.18022,1.0,-8.27,-0.4,-5.3
2026-03-17,0.19564,0.19333,0.18016,1.0,1.19,0.058,-5.243
2026-03-18,0.14662,0.19328,0.18011,1.0,-24.14,-1.166,-6.409
2026-03-19,0.10908,0.19322,0.18005,1.0,-43.55,-2.104,-8.513
2026-03-20,-0.03934,0.19317,0.18,1.0,-120.37,-5.813,-14.326
2026-03-21,-0.05103,0.19313,0.17996,1.0,-126.42,-6.104,-20.43
2026-03-22,-0.05354,0.19309,0.17992,1.0,-127.73,-6.166,-26.595
2026-03-23,0.21222,0.19305,0.17988,1.0,9.93,0.479,-26.116
2026-03-24,0.24571,0.19301,0.17984,1.0,27.31,1.318,-24.798
2026-03-25,0.34336,0.19298,0.17981,1.0,77.93,3.76,-21.039
2026-03-26,0.23141,0.19295,0.17978,1.0,19.94,0.962,-20.077
2026-03-27,0.20554,0.19292,0.17975,1.0,6.54,0.316,-19.762
2026-03-28,0.2128,0.19289,0.17972,1.0,10.32,0.498,-19.264
2026-03-29,0.17324,0.19286,0.17969,1.0,-10.17,-0.491,-19.754
