data,effettivo_eurl,controfattuale_eurl,fitted_sarimax_eurl,pulse_covariata,pct_vs_controfattuale,effetto_giornaliero_meur,effetto_cumulato_meur
2025-06-17,0.23059,0.22524,0.27184,1.0,2.38,0.064,0.064
2025-06-18,0.23019,0.22406,0.27067,1.0,2.74,0.074,0.138
2025-06-19,0.23763,0.22308,0.26968,1.0,6.52,0.175,0.313
2025-06-20,0.24767,0.22219,0.2688,1.0,11.47,0.306,0.618
2025-06-21,0.25581,0.22136,0.26796,1.0,15.57,0.413,1.032
2025-06-22,0.26448,0.22056,0.26717,1.0,19.91,0.527,1.559
2025-06-23,0.25847,0.2198,0.2664,1.0,17.6,0.464,2.023
2025-06-24,0.27193,0.21906,0.26567,1.0,24.13,0.634,2.657
2025-06-25,0.27299,0.21836,0.26496,1.0,25.02,0.656,3.313
2025-06-26,0.27546,0.21768,0.26428,1.0,26.54,0.693,4.006
2025-06-27,0.27405,0.21702,0.26363,1.0,26.28,0.684,4.691
2025-06-28,0.27157,0.2164,0.263,1.0,25.5,0.662,5.353
2025-06-29,0.29318,0.21579,0.2624,1.0,35.86,0.929,6.281
2025-06-30,0.2842,0.21521,0.26181,1.0,32.06,0.828,7.109
2025-07-01,0.28145,0.21465,0.26125,1.0,31.12,0.802,7.911
2025-07-02,0.27478,0.21411,0.26071,1.0,28.34,0.728,8.639
2025-07-03,0.26505,0.21359,0.26019,1.0,24.1,0.618,9.257
2025-07-04,0.26286,0.21308,0.25969,1.0,23.36,0.597,9.854
2025-07-05,0.26163,0.2126,0.25921,1.0,23.06,0.588,10.442
2025-07-06,0.26124,0.21214,0.25874,1.0,23.15,0.589,11.031
2025-07-07,0.25887,0.21169,0.2583,1.0,22.29,0.566,11.597
2025-07-08,0.25806,0.21126,0.25787,1.0,22.15,0.562,12.159
2025-07-09,0.26267,0.21085,0.25745,1.0,24.58,0.622,12.781
2025-07-10,0.25876,0.21045,0.25706,1.0,22.95,0.58,13.361
2025-07-11,0.25927,0.21007,0.25667,1.0,23.42,0.59,13.951
2025-07-12,0.25885,0.2097,0.2563,1.0,23.44,0.59,14.541
