data,effettivo_eurl,controfattuale_eurl,fitted_sarimax_eurl,pulse_covariata,pct_vs_controfattuale,effetto_giornaliero_meur,effetto_cumulato_meur
2025-05-14,0.21198,0.20971,0.18932,1.0,1.08,0.057,0.057
2025-05-15,0.22016,0.21285,0.19245,1.0,3.43,0.183,0.239
2025-05-16,0.23234,0.21725,0.19686,1.0,6.94,0.377,0.617
2025-05-17,0.23593,0.22208,0.20169,1.0,6.23,0.346,0.963
2025-05-18,0.23542,0.22673,0.20634,1.0,3.83,0.217,1.18
2025-05-19,0.2209,0.23083,0.21043,1.0,-4.3,-0.248,0.932
2025-05-20,0.22728,0.23415,0.21375,1.0,-2.93,-0.172,0.76
2025-05-21,0.2294,0.23664,0.21624,1.0,-3.06,-0.181,0.579
2025-05-22,0.23356,0.23833,0.21794,1.0,-2.0,-0.119,0.46
2025-05-23,0.2279,0.23933,0.21894,1.0,-4.78,-0.286,0.174
2025-05-24,0.22722,0.23977,0.21938,1.0,-5.23,-0.314,-0.14
2025-05-25,0.2261,0.23979,0.2194,1.0,-5.71,-0.342,-0.482
2025-05-26,0.23099,0.23953,0.21913,1.0,-3.57,-0.214,-0.695
2025-05-27,0.23341,0.2391,0.21871,1.0,-2.38,-0.142,-0.838
2025-05-28,0.22225,0.23861,0.21821,1.0,-6.86,-0.409,-1.247
2025-05-29,0.22368,0.23811,0.21772,1.0,-6.06,-0.361,-1.607
2025-05-30,0.23561,0.23767,0.21727,1.0,-0.86,-0.051,-1.659
2025-05-31,0.23456,0.2373,0.2169,1.0,-1.15,-0.068,-1.727
2025-06-01,0.2274,0.23701,0.21662,1.0,-4.06,-0.24,-1.968
2025-06-02,0.22272,0.23681,0.21642,1.0,-5.95,-0.352,-2.32
2025-06-03,0.21631,0.23669,0.21629,1.0,-8.61,-0.51,-2.829
2025-06-04,0.21887,0.23662,0.21623,1.0,-7.5,-0.444,-3.273
2025-06-05,0.21432,0.23661,0.21622,1.0,-9.42,-0.557,-3.83
2025-06-06,0.2113,0.23663,0.21624,1.0,-10.71,-0.633,-4.464
2025-06-07,0.21125,0.23667,0.21628,1.0,-10.74,-0.636,-5.099
2025-06-08,0.20691,0.23672,0.21633,1.0,-12.59,-0.745,-5.844
2025-06-09,0.20088,0.23677,0.21638,1.0,-15.16,-0.897,-6.742
2025-06-10,0.19597,0.23682,0.21643,1.0,-17.25,-1.021,-7.763
2025-06-11,0.20263,0.23686,0.21647,1.0,-14.45,-0.856,-8.619
2025-06-12,0.20636,0.23689,0.2165,1.0,-12.89,-0.763,-9.382
2025-06-13,0.18346,0.23692,0.21652,1.0,-22.56,-1.336,-10.718
2025-06-14,0.18987,0.23693,0.21654,1.0,-19.86,-1.177,-11.895
2025-06-15,0.1668,0.23694,0.21655,1.0,-29.6,-1.753,-13.648
2025-06-16,0.18788,0.23694,0.21655,1.0,-20.7,-1.226,-14.875
2025-06-17,0.16287,0.23694,0.21655,1.0,-31.26,-1.852,-16.727
2025-06-18,0.16407,0.23694,0.21654,1.0,-30.76,-1.822,-18.548
2025-06-19,0.12944,0.23693,0.21654,1.0,-45.37,-2.687,-21.236
2025-06-20,0.17546,0.23693,0.21653,1.0,-25.94,-1.537,-22.772
2025-06-21,0.19238,0.23692,0.21653,1.0,-18.8,-1.114,-23.886
2025-06-22,0.16977,0.23692,0.21652,1.0,-28.34,-1.679,-25.565
2025-06-23,0.19955,0.23691,0.21652,1.0,-15.77,-0.934,-26.499
2025-06-24,0.26821,0.23691,0.21652,1.0,13.21,0.783,-25.716
2025-06-25,0.26048,0.23691,0.21652,1.0,9.95,0.589,-25.127
2025-06-26,0.25607,0.23691,0.21651,1.0,8.09,0.479,-24.648
2025-06-27,0.26785,0.23691,0.21651,1.0,13.06,0.774,-23.874
2025-06-28,0.26522,0.23691,0.21651,1.0,11.95,0.708,-23.167
2025-06-29,0.27306,0.23691,0.21651,1.0,15.26,0.904,-22.263
2025-06-30,0.2583,0.23691,0.21652,1.0,9.03,0.535,-21.728
2025-07-01,0.24406,0.23691,0.21652,1.0,3.02,0.179,-21.549
2025-07-02,0.23055,0.23691,0.21652,1.0,-2.69,-0.159,-21.708
2025-07-03,0.21874,0.23691,0.21652,1.0,-7.67,-0.454,-22.162
2025-07-04,0.20112,0.23691,0.21652,1.0,-15.11,-0.895,-23.057
2025-07-05,0.20045,0.23691,0.21652,1.0,-15.39,-0.912,-23.969
2025-07-06,0.2058,0.23691,0.21652,1.0,-13.13,-0.778,-24.747
2025-07-07,0.19891,0.23691,0.21652,1.0,-16.04,-0.95,-25.697
2025-07-08,0.18321,0.23691,0.21652,1.0,-22.67,-1.343,-27.039
2025-07-09,0.17831,0.23691,0.21652,1.0,-24.73,-1.465,-28.504
2025-07-10,0.1796,0.23691,0.21652,1.0,-24.19,-1.433,-29.937
2025-07-11,0.22356,0.23691,0.21652,1.0,-5.64,-0.334,-30.271
2025-07-12,0.22411,0.23691,0.21652,1.0,-5.4,-0.32,-30.591
