data,effettivo_eurl,controfattuale_eurl,fitted_sarimax_eurl,pulse_covariata,pct_vs_controfattuale,effetto_giornaliero_meur,effetto_cumulato_meur
2022-01-29,0.20806,0.20092,0.19208,0.9657,3.55,0.086,0.086
2022-01-30,0.17301,0.20056,0.18995,1.1592,-13.74,-0.331,-0.245
2022-01-31,0.16892,0.2002,0.18936,1.1852,-15.62,-0.375,-0.62
2022-02-01,0.17178,0.19985,0.1892,1.1634,-14.05,-0.337,-0.957
2022-02-02,0.16993,0.19951,0.18876,1.174,-14.82,-0.355,-1.312
2022-02-03,0.16494,0.19917,0.18812,1.2075,-17.18,-0.411,-1.723
2022-02-04,0.1663,0.19884,0.18789,1.1956,-16.36,-0.39,-2.113
2022-02-05,0.17014,0.19851,0.18783,1.1667,-14.29,-0.34,-2.454
2022-02-06,0.17734,0.19819,0.18796,1.1175,-10.52,-0.25,-2.704
2022-02-07,0.18159,0.19788,0.1879,1.0897,-8.23,-0.195,-2.899
2022-02-08,0.17844,0.19757,0.18743,1.1072,-9.68,-0.23,-3.129
2022-02-09,0.17924,0.19726,0.18719,1.1005,-9.13,-0.216,-3.345
2022-02-10,0.17045,0.19696,0.18639,1.1555,-13.46,-0.318,-3.663
2022-02-11,0.172,0.19667,0.18621,1.1434,-12.54,-0.296,-3.959
2022-02-12,0.17381,0.19638,0.18604,1.1298,-11.49,-0.271,-4.23
2022-02-13,0.16802,0.1961,0.18542,1.1671,-14.32,-0.337,-4.567
2022-02-14,0.17798,0.19582,0.18575,1.1003,-9.11,-0.214,-4.781
2022-02-15,0.17653,0.19555,0.18541,1.1077,-9.73,-0.228,-5.009
2022-02-16,0.18746,0.19528,0.18575,1.0417,-4.0,-0.094,-5.103
2022-02-17,0.19208,0.19502,0.18572,1.0153,-1.5,-0.035,-5.138
2022-02-18,0.19445,0.19476,0.18559,1.0016,-0.16,-0.004,-5.142
2022-02-19,0.19604,0.1945,0.18542,0.9921,0.79,0.018,-5.123
2022-02-20,0.19151,0.19425,0.18497,1.0143,-1.41,-0.033,-5.156
2022-02-21,0.18869,0.19401,0.1846,1.0282,-2.74,-0.064,-5.22
2022-02-22,0.18816,0.19377,0.18434,1.0298,-2.9,-0.067,-5.287
2022-02-23,0.19082,0.19353,0.18425,1.0142,-1.4,-0.032,-5.32
2022-02-24,0.19215,0.1933,0.18409,1.006,-0.59,-0.014,-5.333
2022-02-25,0.19731,0.19307,0.18411,0.9785,2.2,0.051,-5.282
2022-02-26,0.2054,0.19284,0.18425,0.9389,6.51,0.151,-5.132
2022-02-27,0.17695,0.19262,0.18266,1.0886,-8.14,-0.188,-5.32
2022-02-28,0.14772,0.19241,0.18048,1.3025,-23.22,-0.536,-5.856
2022-03-01,0.10498,0.19219,0.17544,1.8307,-45.38,-1.047,-6.902
2022-03-02,0.11358,0.19198,0.17651,1.6903,-40.84,-0.941,-7.843
2022-03-03,0.06646,0.19178,0.16537,2.8855,-65.34,-1.504,-9.347
2022-03-04,0.08883,0.19158,0.17184,2.1566,-53.63,-1.233,-10.58
2022-03-05,0.13145,0.19138,0.17805,1.4559,-31.31,-0.719,-11.299
2022-03-06,0.11937,0.19118,0.17652,1.6016,-37.56,-0.862,-12.161
2022-03-07,0.08432,0.19099,0.17026,2.265,-55.85,-1.28,-13.441
2022-03-08,0.1873,0.1908,0.18148,1.0187,-1.84,-0.042,-13.483
2022-03-09,0.27687,0.19062,0.18432,0.6885,45.25,1.035,-12.448
2022-03-10,0.31941,0.19044,0.18498,0.5962,67.72,1.548,-10.9
2022-03-11,0.34141,0.19026,0.18516,0.5573,79.44,1.814,-9.086
2022-03-12,0.35201,0.19008,0.18514,0.54,85.19,1.943,-7.143
2022-03-13,0.37008,0.18991,0.18521,0.5132,94.87,2.162,-4.981
2022-03-14,0.35281,0.18974,0.18482,0.5378,85.94,1.957,-3.025
2022-03-17,0.33505,0.18958,0.1844,0.5658,76.73,1.746,-1.279
2022-03-18,0.34794,0.18941,0.18443,0.5444,83.69,1.902,0.623
2022-03-19,0.31256,0.18925,0.18371,0.6055,65.15,1.48,2.103
2022-03-20,0.29583,0.1891,0.18325,0.6392,56.45,1.281,3.384
2022-03-21,0.29534,0.18894,0.18309,0.6397,56.32,1.277,4.661
2022-03-22,0.27475,0.18879,0.1825,0.6871,45.53,1.032,5.692
2022-03-23,0.07014,0.18864,0.16402,2.6895,-62.82,-1.422,4.27
2022-03-24,0.00809,0.18849,-0.02463,23.2865,-95.71,-2.165,2.105
2022-03-25,0.0092,0.18835,0.00107,20.4627,-95.11,-2.15,-0.044
2022-03-26,0.01025,0.18821,0.02023,18.3536,-94.55,-2.135,-2.18
2022-03-27,0.01404,0.18807,0.06543,13.3997,-92.54,-2.088,-4.268
2022-03-28,0.30827,0.18793,0.18235,0.6096,64.03,1.444,-2.824
2022-03-29,0.30843,0.1878,0.18222,0.6089,64.24,1.448,-1.376
