data,effettivo_eurl,controfattuale_eurl,fitted_sarimax_eurl,pulse_covariata,pct_vs_controfattuale,effetto_giornaliero_meur,effetto_cumulato_meur
2022-03-05,0.00965,-0.03978,0.12639,1.0,-124.25,1.236,1.236
2022-03-06,-0.0708,-0.03771,0.12846,1.0,87.77,-0.827,0.408
2022-03-07,-0.08214,-0.03565,0.13052,1.0,130.39,-1.162,-0.754
2022-03-08,-0.18349,-0.03362,0.13255,1.0,445.75,-3.747,-4.501
2022-03-09,-0.10581,-0.03161,0.13456,1.0,234.75,-1.855,-6.356
2022-03-10,0.00549,-0.02962,0.13655,1.0,-118.55,0.878,-5.478
2022-03-11,0.42333,-0.02765,0.13852,1.0,-1631.19,11.274,5.797
2022-03-12,0.43416,-0.0257,0.14047,1.0,-1789.64,11.496,17.293
2022-03-13,0.43666,-0.02376,0.14241,1.0,-1937.55,11.511,28.803
2022-03-14,0.41052,-0.02185,0.14432,1.0,-1978.77,10.809,39.613
2022-03-17,0.34586,-0.01996,0.14621,1.0,-1833.01,9.145,48.758
2022-03-18,0.36004,-0.01808,0.14809,1.0,-2091.11,9.453,58.211
2022-03-19,0.31526,-0.01623,0.14994,1.0,-2042.85,8.287,66.498
2022-03-20,0.27418,-0.01439,0.15178,1.0,-2005.4,7.214,73.712
2022-03-21,0.22547,-0.01257,0.1536,1.0,-1893.64,5.951,79.663
2022-03-22,0.19746,-0.01077,0.1554,1.0,-1933.38,5.206,84.869
2022-03-23,-0.05996,-0.00899,0.15718,1.0,567.12,-1.274,83.595
2022-03-24,-0.11774,-0.00722,0.15895,1.0,1529.97,-2.763,80.832
2022-03-25,-0.08154,-0.00548,0.16069,1.0,1389.0,-1.902,78.93
