metodo,mode,break_method,evento,carburante,shock,break_date,pre_win_days,post_win_days,n_pre,n_post,arima_order,adf_pvalue_pre,ccf_b,ccf_r,ccf_s,ccf_interpretation,best_approach,approccio,gain_total_meur,gain_ci_low_meur,gain_ci_high_meur,omega,aic,bic,rmse,mape_pct,converged,is_best,note
v4_transfer,detected,glm_poisson_02c,Ucraina (Feb 2022),benzina,2022-02-24,2022-03-04,30,30,2593,20,"(1, 0, 0)",0.0002,4,1,4,"b=4 (effetto inizia al lag 4), s=4 (transitorio 4 periodi), r=1 (decadimento esponenziale)",F,D,34.6,23.7,45.5,-0.21325,-1616.7,-1604.97,0.37798,296.781,True,False,"ITS CCF+Transfer, mode=detected"
v4_transfer,detected,glm_poisson_02c,Ucraina (Feb 2022),benzina,2022-02-24,2022-03-04,30,30,2593,20,"(1, 0, 0)",0.0002,4,1,4,"b=4 (effetto inizia al lag 4), s=4 (transitorio 4 periodi), r=1 (decadimento esponenziale)",F,E,34.6,23.7,45.5,-0.00817,-17521.11,-17497.64,0.18936,62.152,True,False,"ITS CCF+Transfer, mode=detected"
v4_transfer,detected,glm_poisson_02c,Ucraina (Feb 2022),benzina,2022-02-24,2022-03-04,30,30,2593,20,"(1, 0, 0)",0.0002,4,1,4,"b=4 (effetto inizia al lag 4), s=4 (transitorio 4 periodi), r=1 (decadimento esponenziale)",F,F,34.6,23.7,45.5,0.15606,-17417.97,-17394.5,0.12292,312.865,True,True,"ITS CCF+Transfer, mode=detected"
v4_transfer,detected,glm_poisson_02c,Ucraina (Feb 2022),gasolio,2022-02-24,2022-03-05,30,30,1865,19,"(1, 0, 0)",0.1706,6,1,2,"b=6 (effetto inizia al lag 6), s=2 (transitorio 2 periodi), r=1 (decadimento esponenziale)",F,D,78.9,39.6,118.3,-0.14633,-1416.5,-1405.42,0.38183,393.333,True,False,"ITS CCF+Transfer, mode=detected"
v4_transfer,detected,glm_poisson_02c,Ucraina (Feb 2022),gasolio,2022-02-24,2022-03-05,30,30,1865,19,"(1, 0, 0)",0.1706,6,1,2,"b=6 (effetto inizia al lag 6), s=2 (transitorio 2 periodi), r=1 (decadimento esponenziale)",F,E,78.9,39.6,118.3,0.00998,-10704.64,-10682.48,0.277,219.039,True,False,"ITS CCF+Transfer, mode=detected"
v4_transfer,detected,glm_poisson_02c,Ucraina (Feb 2022),gasolio,2022-02-24,2022-03-05,30,30,1865,19,"(1, 0, 0)",0.1706,6,1,2,"b=6 (effetto inizia al lag 6), s=2 (transitorio 2 periodi), r=1 (decadimento esponenziale)",F,F,78.9,39.6,118.3,0.16617,-10664.28,-10642.12,0.2194,313.857,True,True,"ITS CCF+Transfer, mode=detected"
v4_transfer,detected,glm_poisson_02c,Iran-Israele (Giu 2025),benzina,2025-06-13,2025-06-17,30,30,3791,26,"(2, 0, 1)",0.0005,0,2,2,"b=0 (effetto inizia al lag 0), s=2 (transitorio 2 periodi), r=2 (sinusoidale smorzato)",F,D,14.5,12.8,16.3,-0.40806,600.48,612.98,0.45499,173.223,True,False,"ITS CCF+Transfer, mode=detected"
v4_transfer,detected,glm_poisson_02c,Iran-Israele (Giu 2025),benzina,2025-06-13,2025-06-17,30,30,3791,26,"(2, 0, 1)",0.0005,0,2,2,"b=0 (effetto inizia al lag 0), s=2 (transitorio 2 periodi), r=2 (sinusoidale smorzato)",F,E,14.5,12.8,16.3,0.00277,-23413.85,-23376.37,0.04756,16.551,True,False,"ITS CCF+Transfer, mode=detected"
v4_transfer,detected,glm_poisson_02c,Iran-Israele (Giu 2025),benzina,2025-06-13,2025-06-17,30,30,3791,26,"(2, 0, 1)",0.0005,0,2,2,"b=0 (effetto inizia al lag 0), s=2 (transitorio 2 periodi), r=2 (sinusoidale smorzato)",F,F,14.5,12.8,16.3,0.04661,-23413.95,-23376.47,0.01708,4.734,True,True,"ITS CCF+Transfer, mode=detected"
v4_transfer,detected,glm_poisson_02c,Iran-Israele (Giu 2025),gasolio,2025-06-13,2025-06-19,30,30,3064,24,"(2, 0, 2)",0.0005,4,1,5,"b=4 (effetto inizia al lag 4), s=5 (transitorio 5 periodi), r=1 (decadimento esponenziale)",F,D,23.5,16.0,31.0,-0.36625,-2241.08,-2229.02,0.40707,190.082,True,False,"ITS CCF+Transfer, mode=detected"
v4_transfer,detected,glm_poisson_02c,Iran-Israele (Giu 2025),gasolio,2025-06-13,2025-06-19,30,30,3064,24,"(2, 0, 2)",0.0005,4,1,5,"b=4 (effetto inizia al lag 4), s=5 (transitorio 5 periodi), r=1 (decadimento esponenziale)",F,E,23.5,16.0,31.0,-0.04957,-16625.83,-16583.59,0.08637,36.102,True,False,"ITS CCF+Transfer, mode=detected"
v4_transfer,detected,glm_poisson_02c,Iran-Israele (Giu 2025),gasolio,2025-06-13,2025-06-19,30,30,3064,24,"(2, 0, 2)",0.0005,4,1,5,"b=4 (effetto inizia al lag 4), s=5 (transitorio 5 periodi), r=1 (decadimento esponenziale)",F,F,23.5,16.0,31.0,0.04631,-16609.42,-16567.18,0.03695,15.445,True,True,"ITS CCF+Transfer, mode=detected"
v4_transfer,detected,glm_poisson_02c,Hormuz (Feb 2026),benzina,2026-02-28,2026-03-04,30,30,4051,26,"(2, 0, 1)",0.0008,19,1,1,"b=19 (effetto inizia al lag 19), s=1 (transitorio 1 periodi), r=1 (decadimento esponenziale)",F,D,13.1,5.9,20.3,-0.38886,410.14,422.77,0.43673,171.152,True,False,"ITS CCF+Transfer, mode=detected"
v4_transfer,detected,glm_poisson_02c,Hormuz (Feb 2026),benzina,2026-02-28,2026-03-04,30,30,4051,26,"(2, 0, 1)",0.0008,19,1,1,"b=19 (effetto inizia al lag 19), s=1 (transitorio 1 periodi), r=1 (decadimento esponenziale)",F,E,13.1,5.9,20.3,-0.10976,-24945.58,-24907.71,0.1497,58.15,True,False,"ITS CCF+Transfer, mode=detected"
v4_transfer,detected,glm_poisson_02c,Hormuz (Feb 2026),benzina,2026-02-28,2026-03-04,30,30,4051,26,"(2, 0, 1)",0.0008,19,1,1,"b=19 (effetto inizia al lag 19), s=1 (transitorio 1 periodi), r=1 (decadimento esponenziale)",F,F,13.1,5.9,20.3,0.04195,-24648.09,-24610.21,0.07164,26.693,True,True,"ITS CCF+Transfer, mode=detected"
v4_transfer,detected,glm_poisson_02c,Hormuz (Feb 2026),gasolio,2026-02-28,2026-03-04,30,30,3322,26,"(2, 0, 2)",0.0002,15,2,2,"b=15 (effetto inizia al lag 15), s=2 (transitorio 2 periodi), r=2 (sinusoidale smorzato)",E,D,21.0,0.7,41.4,-0.29274,-2156.66,-2144.43,0.33932,240.102,True,False,"ITS CCF+Transfer, mode=detected"
v4_transfer,detected,glm_poisson_02c,Hormuz (Feb 2026),gasolio,2026-02-28,2026-03-04,30,30,3322,26,"(2, 0, 2)",0.0002,15,2,2,"b=15 (effetto inizia al lag 15), s=2 (transitorio 2 periodi), r=2 (sinusoidale smorzato)",E,E,21.0,0.7,41.4,0.02111,-17641.29,-17598.48,0.08519,74.5,True,True,"ITS CCF+Transfer, mode=detected"
v4_transfer,detected,glm_poisson_02c,Hormuz (Feb 2026),gasolio,2026-02-28,2026-03-04,30,30,3322,26,"(2, 0, 2)",0.0002,15,2,2,"b=15 (effetto inizia al lag 15), s=2 (transitorio 2 periodi), r=2 (sinusoidale smorzato)",E,F,21.0,0.7,41.4,0.07095,-17612.54,-17569.73,0.09533,89.24,True,False,"ITS CCF+Transfer, mode=detected"
