metodo,mode,detect_target,evento,carburante,shock,break_date,break_method,pre_win_days,post_win_days,n_pre,n_post,arima_order,sw_stat,sw_p,lb_stat,lb_p,diag_n_lags,sarima_bench_gain_meur,sarima_bench_rmse,sarima_bench_aic,approccio,extra_mean_eurl,extra_sum_eurl,gain_total_meur,gain_ci_low_meur,gain_ci_high_meur,omega,aic,bic,rmse,mape_pct,best_approach,is_best,transfer_fn,note,sarima_sw_stat,sarima_sw_p,sarima_lb_stat,sarima_lb_p
v3_arimax,detected,window_l2,Ucraina (Feb 2022),benzina,2022-02-24,2022-03-08,window_l2,60,60,60,58,"(1, 0, 0)",0.7931,0.0,7.045,0.9564,15,308.2,0.47336,-227.64,A,0.1046,6.0667,72.8,31.8,113.8,,-334.23,-327.95,0.13836,129.856,A,True,A: Auto-ARIMA AIC (pre-only forecast),"ITS/ARIMAX, mode=detected, break=window_l2, detect=window_l2",,,,
v3_arimax,detected,window_l2,Ucraina (Feb 2022),benzina,2022-02-24,2022-03-08,window_l2,60,60,60,58,"(1, 0, 0)",0.7931,0.0,7.045,0.9564,15,308.2,0.47336,-227.64,B,0.21598,12.5269,150.3,67.8,232.8,,-505.03,-496.65,0.23148,114.18,A,False,B: Holt-Winters ETS trend (pre-only forecast),"ITS/ARIMAX, mode=detected, break=window_l2, detect=window_l2",,,,
v3_arimax,detected,window_l2,Ucraina (Feb 2022),benzina,2022-02-24,2022-03-08,window_l2,60,60,60,58,"(1, 0, 0)",0.7931,0.0,7.045,0.9564,15,308.2,0.47336,-227.64,C,0.13123,7.6112,91.3,62.3,120.4,,-268.5,-264.31,0.15508,136.445,A,False,C: OLS trend lineare (pre-only forecast),"ITS/ARIMAX, mode=detected, break=window_l2, detect=window_l2",,,,
v3_arimax,detected,window_l2,Ucraina (Feb 2022),benzina,2022-02-24,2022-03-08,window_l2,60,60,60,58,"(1, 0, 0)",0.7931,0.0,7.045,0.9564,15,308.2,0.47336,-227.64,S,0.44288,25.6869,308.2,30.4,586.1,,-227.64,-224.02,0.47336,222.521,A,False,"SARIMA(0,1,1)(0,1,0)_12","SARIMA(0,1,1)(0,1,0)_12 benchmark, mode=detected",0.631,0.0,14.036,0.5228
v3_arimax,detected,window_l2,Ucraina (Feb 2022),gasolio,2022-02-24,2022-03-10,window_l2,60,60,60,58,"(2, 1, 0)",0.7963,0.0,3.05,0.9996,15,1448.0,1.06996,-185.07,A,0.36493,21.1658,529.1,155.2,903.1,,-264.81,-258.58,0.38412,206.767,C,False,A: Auto-ARIMA AIC (pre-only forecast),"ITS/ARIMAX, mode=detected, break=window_l2, detect=window_l2",,,,
v3_arimax,detected,window_l2,Ucraina (Feb 2022),gasolio,2022-02-24,2022-03-10,window_l2,60,60,60,58,"(2, 1, 0)",0.7963,0.0,3.05,0.9996,15,1448.0,1.06996,-185.07,B,1.1093,64.3392,1608.5,1305.2,1911.7,,-436.04,-427.67,1.18714,587.819,C,False,B: Holt-Winters ETS trend (pre-only forecast),"ITS/ARIMAX, mode=detected, break=window_l2, detect=window_l2",,,,
v3_arimax,detected,window_l2,Ucraina (Feb 2022),gasolio,2022-02-24,2022-03-10,window_l2,60,60,60,58,"(2, 1, 0)",0.7963,0.0,3.05,0.9996,15,1448.0,1.06996,-185.07,C,0.24502,14.2114,355.3,203.8,506.8,,-158.51,-154.32,0.27381,127.013,C,True,C: OLS trend lineare (pre-only forecast),"ITS/ARIMAX, mode=detected, break=window_l2, detect=window_l2",,,,
v3_arimax,detected,window_l2,Ucraina (Feb 2022),gasolio,2022-02-24,2022-03-10,window_l2,60,60,60,58,"(2, 1, 0)",0.7963,0.0,3.05,0.9996,15,1448.0,1.06996,-185.07,S,0.99863,57.9205,1448.0,673.8,2222.3,,-185.07,-181.45,1.06996,507.476,C,False,"SARIMA(0,1,1)(0,1,0)_12","SARIMA(0,1,1)(0,1,0)_12 benchmark, mode=detected",0.8424,0.0,7.37,0.9466
v3_arimax,detected,window_l2,Iran-Israele (Giu 2025),benzina,2025-06-13,2025-06-21,window_l2,60,60,60,60,"(2, 0, 2)",0.913,0.0004,8.534,0.9006,15,-14.0,0.03746,-316.29,A,0.02098,1.2586,15.1,4.6,25.6,,-468.89,-456.32,0.02406,8.0,B,False,A: Auto-ARIMA AIC (pre-only forecast),"ITS/ARIMAX, mode=detected, break=window_l2, detect=window_l2",,,,
v3_arimax,detected,window_l2,Iran-Israele (Giu 2025),benzina,2025-06-13,2025-06-21,window_l2,60,60,60,60,"(2, 0, 2)",0.913,0.0004,8.534,0.9006,15,-14.0,0.03746,-316.29,B,0.01112,0.6671,8.0,-21.8,37.8,,-633.35,-624.97,0.01558,4.66,B,True,B: Holt-Winters ETS trend (pre-only forecast),"ITS/ARIMAX, mode=detected, break=window_l2, detect=window_l2",,,,
