metodo,mode,break_method,evento,carburante,shock,break_date,pre_win_days,post_win_days,n_pre,n_post,arima_order,sw_stat,sw_p,lb_stat,lb_p,diag_n_lags,sarima_bench_gain_meur,sarima_bench_rmse,sarima_bench_aic,approccio,extra_mean_eurl,extra_sum_eurl,gain_total_meur,gain_ci_low_meur,gain_ci_high_meur,omega,aic,bic,rmse,mape_pct,best_approach,is_best,transfer_fn,note,sarima_sw_stat,sarima_sw_p,sarima_lb_stat,sarima_lb_p
v3_arimax,fixed,fixed_at_shock,Ucraina (Feb 2022),benzina,2022-02-24,2022-02-24,40,40,40,38,"(1, 0, 0)",0.8088,0.0,1.132,0.9997,10,6.7,0.11488,-177.09,A,0.03032,1.1521,13.8,3.6,24.0,,-279.46,-274.39,0.11973,230.386,B,False,A: Auto-ARIMA AIC (pre-only forecast),"ITS/ARIMAX, mode=fixed, break=fixed_at_shock",,,,
v3_arimax,fixed,fixed_at_shock,Ucraina (Feb 2022),benzina,2022-02-24,2022-02-24,40,40,40,38,"(1, 0, 0)",0.8088,0.0,1.132,0.9997,10,6.7,0.11488,-177.09,B,0.02671,1.0149,12.2,-14.5,38.8,,-388.56,-381.8,0.11871,234.813,B,True,B: Holt-Winters ETS trend (pre-only forecast),"ITS/ARIMAX, mode=fixed, break=fixed_at_shock",,,,
v3_arimax,fixed,fixed_at_shock,Ucraina (Feb 2022),benzina,2022-02-24,2022-02-24,40,40,40,38,"(1, 0, 0)",0.8088,0.0,1.132,0.9997,10,6.7,0.11488,-177.09,C,0.04323,1.6429,19.7,9.3,30.1,,-241.07,-237.7,0.12429,214.786,B,False,C: OLS trend lineare (pre-only forecast),"ITS/ARIMAX, mode=fixed, break=fixed_at_shock",,,,
v3_arimax,fixed,fixed_at_shock,Ucraina (Feb 2022),benzina,2022-02-24,2022-02-24,40,40,40,38,"(1, 0, 0)",0.8088,0.0,1.132,0.9997,10,6.7,0.11488,-177.09,S,0.01472,0.5593,6.7,-83.0,96.4,,-177.09,-174.28,0.11488,249.814,B,False,"SARIMA(0,1,1)(0,1,0)_7","SARIMA(0,1,1)(0,1,0)_12 benchmark, mode=fixed",0.4883,0.0,12.084,0.2795
v3_arimax,fixed,fixed_at_shock,Ucraina (Feb 2022),gasolio,2022-02-24,2022-02-24,40,40,40,38,"(1, 0, 0)",0.9483,0.0665,17.205,0.0699,10,-55.1,0.18559,-174.08,A,-0.00416,-0.158,-3.9,-30.5,22.6,,-252.33,-247.27,0.18182,1031.628,C,False,A: Auto-ARIMA AIC (pre-only forecast),"ITS/ARIMAX, mode=fixed, break=fixed_at_shock",,,,
v3_arimax,fixed,fixed_at_shock,Ucraina (Feb 2022),gasolio,2022-02-24,2022-02-24,40,40,40,38,"(1, 0, 0)",0.9483,0.0665,17.205,0.0699,10,-55.1,0.18559,-174.08,B,-0.02178,-0.8276,-20.7,-99.5,58.1,,-360.56,-353.81,0.18206,1124.634,C,False,B: Holt-Winters ETS trend (pre-only forecast),"ITS/ARIMAX, mode=fixed, break=fixed_at_shock",,,,
v3_arimax,fixed,fixed_at_shock,Ucraina (Feb 2022),gasolio,2022-02-24,2022-02-24,40,40,40,38,"(1, 0, 0)",0.9483,0.0665,17.205,0.0699,10,-55.1,0.18559,-174.08,C,-0.02254,-0.8564,-21.4,-46.0,3.1,,-230.82,-227.44,0.18133,1109.649,C,True,C: OLS trend lineare (pre-only forecast),"ITS/ARIMAX, mode=fixed, break=fixed_at_shock",,,,
v3_arimax,fixed,fixed_at_shock,Ucraina (Feb 2022),gasolio,2022-02-24,2022-02-24,40,40,40,38,"(1, 0, 0)",0.9483,0.0665,17.205,0.0699,10,-55.1,0.18559,-174.08,S,-0.05802,-2.2048,-55.1,-218.1,107.8,,-174.08,-171.28,0.18559,1330.967,C,False,"SARIMA(0,1,1)(0,1,0)_7","SARIMA(0,1,1)(0,1,0)_12 benchmark, mode=fixed",0.6263,0.0,11.949,0.2885
v3_arimax,fixed,fixed_at_shock,Iran-Israele (Giu 2025),benzina,2025-06-13,2025-06-13,40,40,40,40,"(2, 0, 0)",0.9551,0.1134,3.191,0.9766,10,26.3,0.05971,-222.89,A,0.02509,1.0036,12.0,3.0,21.1,,-323.59,-316.83,0.02875,9.574,C,False,A: Auto-ARIMA AIC (pre-only forecast),"ITS/ARIMAX, mode=fixed, break=fixed_at_shock",,,,
v3_arimax,fixed,fixed_at_shock,Iran-Israele (Giu 2025),benzina,2025-06-13,2025-06-13,40,40,40,40,"(2, 0, 0)",0.9551,0.1134,3.191,0.9766,10,26.3,0.05971,-222.89,B,0.04673,1.8691,22.4,6.1,38.8,,-433.51,-426.76,0.05089,17.691,C,False,B: Holt-Winters ETS trend (pre-only forecast),"ITS/ARIMAX, mode=fixed, break=fixed_at_shock",,,,
