data,effettivo_eurl,controfattuale_eurl,fitted_sarimax_eurl,pulse_covariata,pct_vs_controfattuale,effetto_giornaliero_meur,effetto_cumulato_meur
2026-02-28,0.26685,0.26324,0.28646,1.0,1.37,0.043,0.043
2026-03-01,0.24387,0.26124,0.28446,1.0,-6.65,-0.208,-0.165
2026-03-02,0.21857,0.25931,0.28253,1.0,-15.71,-0.489,-0.654
2026-03-03,0.23003,0.25744,0.28066,1.0,-10.65,-0.329,-0.983
2026-03-04,0.23108,0.25564,0.27886,1.0,-9.61,-0.295,-1.278
2026-03-05,0.25087,0.2539,0.27712,1.0,-1.19,-0.036,-1.314
2026-03-06,0.27026,0.25222,0.27544,1.0,7.15,0.217,-1.097
2026-03-07,0.28471,0.25059,0.27381,1.0,13.62,0.409,-0.688
2026-03-08,0.24628,0.24902,0.27224,1.0,-1.1,-0.033,-0.721
2026-03-09,0.2647,0.2475,0.27073,1.0,6.95,0.206,-0.514
2026-03-10,0.26439,0.24604,0.26926,1.0,7.46,0.22,-0.294
2026-03-11,0.24527,0.24462,0.26784,1.0,0.27,0.008,-0.286
2026-03-12,0.23798,0.24325,0.26647,1.0,-2.17,-0.063,-0.35
2026-03-13,0.24565,0.24193,0.26515,1.0,1.54,0.045,-0.305
2026-03-14,0.25849,0.24065,0.26387,1.0,7.41,0.214,-0.091
2026-03-15,0.2618,0.23941,0.26264,1.0,9.35,0.269,0.178
2026-03-16,0.23469,0.23822,0.26144,1.0,-1.48,-0.042,0.135
2026-03-17,0.24846,0.23707,0.26029,1.0,4.81,0.137,0.272
2026-03-18,0.25591,0.23595,0.25917,1.0,8.46,0.24,0.512
2026-03-19,0.26468,0.23487,0.2581,1.0,12.69,0.358,0.869
2026-03-20,0.11474,0.23383,0.25705,1.0,-50.93,-1.429,-0.56
2026-03-21,0.09428,0.23283,0.25605,1.0,-59.51,-1.663,-2.222
2026-03-22,0.12343,0.23186,0.25508,1.0,-46.76,-1.301,-3.523
2026-03-23,0.33093,0.23092,0.25414,1.0,43.31,1.2,-2.323
2026-03-24,0.3543,0.23001,0.25323,1.0,54.04,1.492,-0.832
2026-03-25,0.35691,0.22913,0.25235,1.0,55.77,1.533,0.702
2026-03-26,0.35271,0.22828,0.25151,1.0,54.5,1.493,2.195
2026-03-27,0.35334,0.22746,0.25069,1.0,55.34,1.51,3.705
2026-03-28,0.35466,0.22667,0.24989,1.0,56.46,1.536,5.241
2026-03-29,0.35134,0.22591,0.24913,1.0,55.52,1.505,6.746
2026-03-30,0.30259,0.22517,0.24839,1.0,34.38,0.929,7.675
2026-03-31,0.32794,0.22446,0.24768,1.0,46.1,1.242,8.917
