data,effettivo_eurl,controfattuale_eurl,fitted_sarimax_eurl,pulse_covariata,pct_vs_controfattuale,effetto_giornaliero_meur,effetto_cumulato_meur
2026-02-28,0.21052,0.20525,0.11422,1.0,2.57,0.132,0.132
2026-03-01,0.1484,0.20466,0.11831,0.9486,-27.49,-1.407,-1.275
2026-03-02,0.11146,0.20382,0.1219,0.8999,-45.32,-2.309,-3.584
2026-03-03,0.04496,0.20304,0.12533,0.8536,-77.86,-3.952,-7.536
2026-03-04,0.10939,0.20231,0.1286,0.8098,-45.93,-2.323,-9.859
2026-03-05,0.08204,0.20163,0.13171,0.7682,-59.31,-2.99,-12.849
2026-03-06,0.0889,0.20101,0.13468,0.7287,-55.77,-2.803,-15.651
2026-03-07,0.12878,0.20042,0.1375,0.6912,-35.75,-1.791,-17.442
2026-03-08,0.02588,0.19988,0.14019,0.6557,-87.05,-4.35,-21.792
2026-03-09,0.10815,0.19938,0.14276,0.622,-45.76,-2.281,-24.073
2026-03-10,0.2476,0.19891,0.1452,0.5901,24.48,1.217,-22.856
2026-03-11,0.22492,0.19848,0.14752,0.5597,13.32,0.661,-22.195
2026-03-12,0.22307,0.19807,0.14974,0.531,12.62,0.625,-21.57
2026-03-13,0.20754,0.1977,0.15185,0.5037,4.98,0.246,-21.324
2026-03-14,0.22599,0.19735,0.15386,0.4778,14.51,0.716,-20.608
2026-03-15,0.20966,0.19703,0.15577,0.4533,6.41,0.316,-20.292
2026-03-16,0.17741,0.19673,0.15759,0.43,-9.82,-0.483,-20.775
2026-03-17,0.19564,0.19645,0.15932,0.4079,-0.41,-0.02,-20.795
2026-03-18,0.14662,0.19619,0.16097,0.3869,-25.27,-1.239,-22.035
2026-03-19,0.10908,0.19595,0.16254,0.367,-44.33,-2.172,-24.206
2026-03-20,-0.03934,0.19572,0.16403,0.3482,-120.1,-5.877,-30.083
2026-03-21,-0.05103,0.19551,0.16545,0.3303,-126.1,-6.164,-36.247
2026-03-22,-0.05354,0.19532,0.1668,0.3133,-127.41,-6.222,-42.468
2026-03-23,0.21222,0.19514,0.16809,0.2972,8.75,0.427,-42.041
2026-03-24,0.24571,0.19497,0.16931,0.2819,26.02,1.269,-40.773
2026-03-25,0.34336,0.19482,0.17047,0.2675,76.24,3.713,-37.059
2026-03-26,0.23141,0.19467,0.17158,0.2537,18.87,0.918,-36.141
2026-03-27,0.20554,0.19454,0.17263,0.2407,5.65,0.275,-35.866
2026-03-28,0.2128,0.19442,0.17363,0.2283,9.46,0.46,-35.406
2026-03-29,0.17324,0.1943,0.17459,0.2166,-10.84,-0.526,-35.933
2026-03-30,0.19331,0.19419,0.17549,0.2054,-0.46,-0.022,-35.955
2026-03-31,0.22753,0.19409,0.17635,0.1949,17.23,0.836,-35.119
