data,effettivo_eurl,controfattuale_eurl,fitted_sarimax_eurl,pulse_covariata,pct_vs_controfattuale,effetto_giornaliero_meur,effetto_cumulato_meur
2025-06-13,0.2295,0.22711,0.26907,1.0,1.06,0.029,0.029
2025-06-14,0.23565,0.22621,0.26817,1.0,4.18,0.113,0.142
2025-06-15,0.23398,0.22527,0.26724,1.0,3.87,0.105,0.247
2025-06-16,0.22688,0.22435,0.26631,1.0,1.13,0.03,0.277
2025-06-17,0.23059,0.22345,0.26542,1.0,3.2,0.086,0.363
2025-06-18,0.23019,0.22258,0.26455,1.0,3.42,0.091,0.454
2025-06-19,0.23763,0.22174,0.26371,1.0,7.17,0.191,0.645
2025-06-20,0.24767,0.22094,0.2629,1.0,12.1,0.321,0.966
2025-06-21,0.25581,0.22016,0.26213,1.0,16.19,0.428,1.393
2025-06-22,0.26448,0.21941,0.26138,1.0,20.54,0.541,1.934
2025-06-23,0.25847,0.21869,0.26066,1.0,18.19,0.477,2.412
2025-06-24,0.27193,0.218,0.25997,1.0,24.74,0.647,3.059
2025-06-25,0.27299,0.21733,0.2593,1.0,25.61,0.668,3.727
2025-06-26,0.27546,0.21669,0.25866,1.0,27.12,0.705,4.432
2025-06-27,0.27405,0.21607,0.25804,1.0,26.83,0.696,5.128
2025-06-28,0.27157,0.21548,0.25744,1.0,26.03,0.673,5.801
2025-06-29,0.29318,0.2149,0.25687,1.0,36.42,0.939,6.74
2025-06-30,0.2842,0.21435,0.25632,1.0,32.58,0.838,7.578
2025-07-01,0.28145,0.21382,0.25579,1.0,31.63,0.811,8.39
2025-07-02,0.27478,0.21331,0.25528,1.0,28.82,0.738,9.127
2025-07-03,0.26505,0.21282,0.25479,1.0,24.54,0.627,9.754
2025-07-04,0.26286,0.21235,0.25431,1.0,23.79,0.606,10.36
2025-07-05,0.26163,0.21189,0.25386,1.0,23.47,0.597,10.957
2025-07-06,0.26124,0.21145,0.25342,1.0,23.55,0.597,11.554
2025-07-07,0.25887,0.21103,0.253,1.0,22.67,0.574,12.129
2025-07-08,0.25806,0.21062,0.25259,1.0,22.52,0.569,12.698
2025-07-09,0.26267,0.21023,0.2522,1.0,24.94,0.629,13.327
2025-07-10,0.25876,0.20986,0.25182,1.0,23.3,0.587,13.914
2025-07-11,0.25927,0.20949,0.25146,1.0,23.76,0.597,14.511
2025-07-12,0.25885,0.20914,0.25111,1.0,23.77,0.596,15.108
