data,effettivo_eurl,controfattuale_eurl,fitted_sarimax_eurl,pulse_covariata,pct_vs_controfattuale,effetto_giornaliero_meur,effetto_cumulato_meur
2025-06-13,0.18346,0.20646,0.2184,1.0,-11.14,-0.575,-0.575
2025-06-14,0.18987,0.20568,0.21762,1.0,-7.69,-0.395,-0.97
2025-06-15,0.1668,0.20457,0.21651,1.0,-18.46,-0.944,-1.914
2025-06-16,0.18788,0.20347,0.21541,1.0,-7.66,-0.39,-2.304
2025-06-17,0.16287,0.20243,0.21437,1.0,-19.55,-0.989,-3.293
2025-06-18,0.16407,0.20148,0.21342,1.0,-18.57,-0.935,-4.228
2025-06-19,0.12944,0.20059,0.21253,1.0,-35.47,-1.779,-6.007
2025-06-20,0.17546,0.19978,0.21172,1.0,-12.17,-0.608,-6.615
2025-06-21,0.19238,0.19902,0.21096,1.0,-3.34,-0.166,-6.781
2025-06-22,0.16977,0.19833,0.21027,1.0,-14.4,-0.714,-7.495
2025-06-23,0.19955,0.19769,0.20963,1.0,0.94,0.046,-7.449
2025-06-24,0.26821,0.19709,0.20903,1.0,36.09,1.778,-5.671
2025-06-25,0.26048,0.19654,0.20848,1.0,32.53,1.599,-4.072
2025-06-26,0.25607,0.19604,0.20798,1.0,30.62,1.501,-2.571
2025-06-27,0.26785,0.19557,0.20751,1.0,36.96,1.807,-0.764
2025-06-28,0.26522,0.19513,0.20707,1.0,35.92,1.752,0.988
2025-06-29,0.27306,0.19474,0.20668,1.0,40.22,1.958,2.946
2025-06-30,0.2583,0.19437,0.20631,1.0,32.89,1.598,4.545
2025-07-01,0.24406,0.19403,0.20597,1.0,25.79,1.251,5.796
2025-07-02,0.23055,0.19371,0.20565,1.0,19.02,0.921,6.716
2025-07-03,0.21874,0.19342,0.20536,1.0,13.09,0.633,7.35
2025-07-04,0.20112,0.19315,0.20509,1.0,4.12,0.199,7.549
2025-07-05,0.20045,0.1929,0.20484,1.0,3.91,0.189,7.737
2025-07-06,0.2058,0.19267,0.20461,1.0,6.81,0.328,8.065
2025-07-07,0.19891,0.19246,0.2044,1.0,3.35,0.161,8.227
2025-07-08,0.18321,0.19227,0.20421,1.0,-4.71,-0.226,8.0
2025-07-09,0.17831,0.19209,0.20403,1.0,-7.17,-0.344,7.656
2025-07-10,0.1796,0.19192,0.20386,1.0,-6.42,-0.308,7.348
2025-07-11,0.22356,0.19176,0.2037,1.0,16.58,0.795,8.143
2025-07-12,0.22411,0.19162,0.20356,1.0,16.96,0.812,8.955
