data,effettivo_eurl,controfattuale_eurl,fitted_sarimax_eurl,pulse_covariata,pct_vs_controfattuale,effetto_giornaliero_meur,effetto_cumulato_meur
2022-02-24,0.19215,0.19064,0.18597,0.9921,0.8,0.018,0.018
2022-02-25,0.19731,0.19045,0.18591,0.9652,3.6,0.082,0.101
2022-02-26,0.2054,0.19027,0.18591,0.9263,7.95,0.182,0.282
2022-02-27,0.17695,0.19009,0.18504,1.0743,-6.91,-0.158,0.124
2022-02-28,0.14772,0.18992,0.18387,1.2856,-22.22,-0.506,-0.382
2022-03-01,0.10498,0.18974,0.18124,1.8074,-44.67,-1.017,-1.399
2022-03-02,0.11358,0.18957,0.18173,1.6691,-40.09,-0.912,-2.311
2022-03-03,0.06646,0.18941,0.17601,2.8498,-64.91,-1.475,-3.786
2022-03-04,0.08883,0.18925,0.17923,2.1304,-53.06,-1.205,-4.991
2022-03-05,0.13145,0.18908,0.18232,1.4384,-30.48,-0.692,-5.683
2022-03-06,0.11937,0.18893,0.18149,1.5828,-36.82,-0.835,-6.518
2022-03-07,0.08432,0.18877,0.17825,2.2387,-55.33,-1.253,-7.771
2022-03-08,0.1873,0.18862,0.18389,1.0071,-0.7,-0.016,-7.787
2022-03-09,0.27687,0.18847,0.18527,0.6807,46.9,1.061,-6.726
2022-03-10,0.31941,0.18833,0.18555,0.5896,69.6,1.573,-5.153
2022-03-11,0.34141,0.18818,0.18559,0.5512,81.42,1.839,-3.314
2022-03-12,0.35201,0.18804,0.18553,0.5342,87.2,1.968,-1.347
2022-03-13,0.37008,0.1879,0.18552,0.5077,96.95,2.186,0.839
2022-03-14,0.35281,0.18777,0.18526,0.5322,87.9,1.981,2.82
2022-03-17,0.33505,0.18763,0.185,0.56,78.56,1.769,4.589
2022-03-18,0.34794,0.1875,0.18497,0.5389,85.56,1.925,6.514
2022-03-19,0.31256,0.18737,0.18455,0.5995,66.81,1.502,8.016
2022-03-20,0.29583,0.18725,0.18427,0.6329,57.99,1.303,9.319
2022-03-21,0.29534,0.18712,0.18414,0.6336,57.83,1.299,10.618
2022-03-22,0.27475,0.187,0.1838,0.6806,46.92,1.053,11.671
2022-03-23,0.07014,0.18688,0.17435,2.6644,-62.47,-1.401,10.27
2022-03-24,0.00809,0.18676,0.07827,23.0729,-95.67,-2.144,8.126
2022-03-25,0.0092,0.18665,0.0913,20.2779,-95.07,-2.129,5.997
