data,effettivo_eurl,controfattuale_eurl,fitted_sarimax_eurl,pulse_covariata,pct_vs_controfattuale,effetto_giornaliero_meur,effetto_cumulato_meur
2022-02-24,0.12252,0.16704,0.05945,1.0,-26.65,-1.113,-1.113
2022-02-25,0.16193,0.16671,0.06969,0.9018,-2.87,-0.119,-1.232
2022-02-26,0.17041,0.16672,0.07922,0.8133,2.22,0.092,-1.14
2022-02-27,0.1345,0.16673,0.08781,0.7335,-19.33,-0.806,-1.946
2022-02-28,0.1365,0.16674,0.09557,0.6615,-18.13,-0.756,-2.702
2022-03-01,0.08311,0.16674,0.10256,0.5966,-50.15,-2.091,-4.792
2022-03-02,0.02463,0.16675,0.10887,0.538,-85.23,-3.553,-8.345
2022-03-03,0.0005,0.16676,0.11456,0.4852,-99.7,-4.156,-12.502
2022-03-04,-0.04187,0.16676,0.11969,0.4376,-125.11,-5.216,-17.718
2022-03-05,0.00965,0.16677,0.12431,0.3946,-94.22,-3.928,-21.646
2022-03-06,-0.0708,0.16678,0.12849,0.3559,-142.45,-5.939,-27.585
2022-03-07,-0.08214,0.16679,0.13225,0.321,-149.25,-6.223,-33.808
2022-03-08,-0.18349,0.16679,0.13565,0.2895,-210.01,-8.757,-42.565
2022-03-09,-0.10581,0.1668,0.13871,0.2611,-163.44,-6.815,-49.381
2022-03-10,0.00549,0.16681,0.14148,0.2354,-96.71,-4.033,-53.414
2022-03-11,0.42333,0.16681,0.14397,0.2123,153.77,6.413,-47.001
2022-03-12,0.43416,0.16682,0.14622,0.1915,160.26,6.683,-40.317
2022-03-13,0.43666,0.16683,0.14825,0.1727,161.75,6.746,-33.571
2022-03-14,0.41052,0.16683,0.15008,0.1557,146.07,6.092,-27.479
2022-03-17,0.34586,0.16684,0.15173,0.1405,107.3,4.475,-23.004
2022-03-18,0.36004,0.16684,0.15322,0.1267,115.79,4.83,-18.174
2022-03-19,0.31526,0.16685,0.15456,0.1142,88.95,3.71,-14.464
2022-03-20,0.27418,0.16686,0.15577,0.103,64.32,2.683,-11.781
2022-03-21,0.22547,0.16686,0.15687,0.0929,35.12,1.465,-10.316
2022-03-22,0.19746,0.16687,0.15785,0.0838,18.33,0.765,-9.551
2022-03-23,-0.05996,0.16687,0.15874,0.0756,-135.93,-5.671,-15.222
2022-03-24,-0.11774,0.16688,0.15955,0.0682,-170.55,-7.115,-22.337
2022-03-25,-0.08154,0.16689,0.16027,0.0615,-148.86,-6.211,-28.548
2022-03-26,-0.07634,0.16689,0.16093,0.0554,-145.74,-6.081,-34.629
2022-03-27,-0.05373,0.1669,0.16152,0.05,-132.19,-5.516,-40.144
2022-03-28,0.2648,0.1669,0.16205,0.0451,58.66,2.448,-37.697
2022-03-29,0.32152,0.16691,0.16253,0.0407,92.63,3.865,-33.831
2022-03-30,0.30623,0.16691,0.16297,0.0367,83.47,3.483,-30.349
2022-03-31,0.32182,0.16692,0.16336,0.0331,92.8,3.872,-26.476
2022-04-01,0.28565,0.16692,0.16371,0.0298,71.12,2.968,-23.508
2022-04-02,0.27641,0.16693,0.16403,0.0269,65.58,2.737,-20.771
2022-04-03,0.25743,0.16693,0.16432,0.0243,54.21,2.262,-18.509
2022-04-04,0.23928,0.16694,0.16458,0.0219,43.34,1.809,-16.7
2022-04-05,0.27688,0.16694,0.16482,0.0197,65.85,2.748,-13.952
2022-04-06,0.28818,0.16695,0.16503,0.0178,72.62,3.031,-10.921
2022-04-07,0.33945,0.16695,0.16523,0.016,103.32,4.312,-6.608
2022-04-08,0.30735,0.16696,0.1654,0.0145,84.09,3.51,-3.099
2022-04-09,0.30076,0.16696,0.16556,0.0131,80.14,3.345,0.246
2022-04-10,0.2952,0.16697,0.1657,0.0118,76.8,3.206,3.452
2022-04-11,0.27782,0.16697,0.16583,0.0106,66.39,2.771,6.224
2022-04-12,0.27731,0.16698,0.16595,0.0096,66.08,2.758,8.982
2022-04-13,0.25679,0.16698,0.16605,0.0086,53.78,2.245,11.227
2022-04-14,0.21176,0.16698,0.16615,0.0078,26.82,1.119,12.346
2022-04-15,0.21325,0.16699,0.16623,0.007,27.7,1.157,13.503
2022-04-16,0.21819,0.16699,0.16631,0.0063,30.66,1.28,14.783
2022-04-17,0.16773,0.167,0.16638,0.0057,0.44,0.018,14.801
2022-04-18,0.16955,0.167,0.16645,0.0052,1.53,0.064,14.865
2022-04-19,0.22568,0.167,0.1665,0.0046,35.14,1.467,16.332
2022-04-20,0.21197,0.16701,0.16656,0.0042,26.92,1.124,17.456
2022-04-21,0.23299,0.16701,0.16661,0.0038,39.51,1.65,19.106
2022-04-22,0.2318,0.16702,0.16665,0.0034,38.79,1.619,20.725
2022-04-23,0.23225,0.16702,0.16669,0.0031,39.05,1.631,22.356
2022-04-24,0.23932,0.16702,0.16673,0.0028,43.28,1.807,24.163
