metodo,mode,break_method,evento,carburante,shock,break_date,pre_win_days,post_win_days,n_pre,n_post,arima_order,adf_pvalue_pre,ccf_b,ccf_r,ccf_s,ccf_interpretation,best_approach,approccio,gain_total_meur,gain_ci_low_meur,gain_ci_high_meur,omega,aic,bic,rmse,mape_pct,converged,is_best,note
v4_transfer,fixed,fixed_at_shock,Ucraina (Feb 2022),benzina,2022-02-24,2022-02-24,30,30,2585,28,"(1, 0, 0)",0.0,12,2,5,"b=12 (effetto inizia al lag 12), s=5 (transitorio 5 periodi), r=2 (sinusoidale smorzato)",E,D,6.0,-5.8,17.8,-0.262,-1620.62,-1608.88,0.30181,203.505,True,False,"ITS CCF+Transfer, mode=fixed"
v4_transfer,fixed,fixed_at_shock,Ucraina (Feb 2022),benzina,2022-02-24,2022-02-24,30,30,2585,28,"(1, 0, 0)",0.0,12,2,5,"b=12 (effetto inizia al lag 12), s=5 (transitorio 5 periodi), r=2 (sinusoidale smorzato)",E,E,6.0,-5.8,17.8,-0.0047,-17544.87,-17521.4,0.10511,109.446,True,True,"ITS CCF+Transfer, mode=fixed"
v4_transfer,fixed,fixed_at_shock,Ucraina (Feb 2022),benzina,2022-02-24,2022-02-24,30,30,2585,28,"(1, 0, 0)",0.0,12,2,5,"b=12 (effetto inizia al lag 12), s=5 (transitorio 5 periodi), r=2 (sinusoidale smorzato)",E,F,6.0,-5.8,17.8,0.01785,-17412.89,-17389.42,0.11303,216.252,True,False,"ITS CCF+Transfer, mode=fixed"
v4_transfer,fixed,fixed_at_shock,Ucraina (Feb 2022),gasolio,2022-02-24,2022-02-24,30,30,1856,28,"(1, 0, 2)",0.0148,12,1,3,"b=12 (effetto inizia al lag 12), s=3 (transitorio 3 periodi), r=1 (decadimento esponenziale)",F,D,-28.5,-69.5,12.4,-0.31007,-1090.26,-1079.18,0.32859,1319.45,True,False,"ITS CCF+Transfer, mode=fixed"
v4_transfer,fixed,fixed_at_shock,Ucraina (Feb 2022),gasolio,2022-02-24,2022-02-24,30,30,1856,28,"(1, 0, 2)",0.0148,12,1,3,"b=12 (effetto inizia al lag 12), s=3 (transitorio 3 periodi), r=1 (decadimento esponenziale)",F,E,-28.5,-69.5,12.4,-0.0,-10784.65,-10751.41,0.19267,1475.114,True,False,"ITS CCF+Transfer, mode=fixed"
v4_transfer,fixed,fixed_at_shock,Ucraina (Feb 2022),gasolio,2022-02-24,2022-02-24,30,30,1856,28,"(1, 0, 2)",0.0148,12,1,3,"b=12 (effetto inizia al lag 12), s=3 (transitorio 3 periodi), r=1 (decadimento esponenziale)",F,F,-28.5,-69.5,12.4,-0.09924,-10811.65,-10778.41,0.18593,992.257,True,True,"ITS CCF+Transfer, mode=fixed"
v4_transfer,fixed,fixed_at_shock,Iran-Israele (Giu 2025),benzina,2025-06-13,2025-06-13,30,30,3787,30,"(2, 0, 1)",0.0005,0,2,4,"b=0 (effetto inizia al lag 0), s=4 (transitorio 4 periodi), r=2 (sinusoidale smorzato)",F,D,15.1,12.8,17.4,-0.44162,604.43,616.92,0.48405,187.31,True,False,"ITS CCF+Transfer, mode=fixed"
v4_transfer,fixed,fixed_at_shock,Iran-Israele (Giu 2025),benzina,2025-06-13,2025-06-13,30,30,3787,30,"(2, 0, 1)",0.0005,0,2,4,"b=0 (effetto inizia al lag 0), s=4 (transitorio 4 periodi), r=2 (sinusoidale smorzato)",F,E,15.1,12.8,17.4,0.00015,-23408.1,-23370.62,0.04691,15.695,True,False,"ITS CCF+Transfer, mode=fixed"
v4_transfer,fixed,fixed_at_shock,Iran-Israele (Giu 2025),benzina,2025-06-13,2025-06-13,30,30,3787,30,"(2, 0, 1)",0.0005,0,2,4,"b=0 (effetto inizia al lag 0), s=4 (transitorio 4 periodi), r=2 (sinusoidale smorzato)",F,F,15.1,12.8,17.4,0.04197,-23412.15,-23374.67,0.0212,6.98,True,True,"ITS CCF+Transfer, mode=fixed"
v4_transfer,fixed,fixed_at_shock,Iran-Israele (Giu 2025),gasolio,2025-06-13,2025-06-13,30,30,3058,30,"(2, 0, 2)",0.0009,0,2,4,"b=0 (effetto inizia al lag 0), s=4 (transitorio 4 periodi), r=2 (sinusoidale smorzato)",F,D,9.0,-0.1,18.0,-0.40005,-2199.46,-2187.39,0.41393,200.624,True,False,"ITS CCF+Transfer, mode=fixed"
