date,residual,phase,metodo,evento,carburante,break_date
2025-05-04,0.24331583958006026,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-05,-0.006762184369322188,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-06,0.004282184369238856,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-07,-0.0002842803511026726,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-08,-0.001894108659973276,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-09,0.003686633319820082,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-10,0.0033320474562874847,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-11,-0.003702406149883486,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-12,0.0028162116173407747,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-13,0.006606620888315928,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-14,0.010371014704165765,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-15,0.003263523070301033,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-16,-0.00561175558595059,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-17,-0.0007778476036462978,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-18,0.0012571636854184776,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-19,0.01148350427591685,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-20,-0.0025576925590806154,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-21,-0.0004866120767517135,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-22,-0.0005692231517773483,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-23,-0.003122927042505247,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-24,-0.002365836725649717,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-25,-0.00012298871286584023,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-26,-0.0011207407673456682,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-27,-0.0004912857335392373,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-28,-0.003177778578141499,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-29,0.0030594079168592414,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-30,-0.0014913671550737528,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-31,-0.0012168438758558275,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-01,-0.006599927796203331,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-02,-0.002383656467671469,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-03,0.001300007229445177,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-04,0.004437091312005925,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-05,0.0006423139549595891,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-06,6.960537899597385e-05,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-07,0.0004307239927132389,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-08,0.0003838913197002358,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-09,-0.0019077640959139497,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-10,-0.008682774082589328,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-11,0.007409443916596925,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-12,0.0019226413484647042,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-13,0.002371117654045879,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-14,0.009242231887398755,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-15,0.008294599820397236,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-16,0.0019125557786517922,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-17,0.006347431214841964,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-18,0.006665515691527846,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-19,0.014826629924880735,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-20,0.025587744158233672,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-21,0.034448858391586484,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
