date,residual,phase,metodo,evento,carburante,break_date
2025-05-04,0.2547802661576013,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-05,0.010253100332566212,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-06,-0.030039643196590138,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-07,0.011316457580974854,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-08,-0.008875340988800606,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-09,-0.008508154843172577,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-10,0.001688999333122665,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-11,0.004138918218474147,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-12,0.005929103547800824,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-13,-0.018184513260130986,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-14,0.004430230402742791,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-15,0.013728034504565612,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-16,0.018630120365763808,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-17,0.009823045647441908,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-18,0.004569144187252572,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-19,-0.013336145162224977,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-20,0.005761082379519278,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-21,0.0052706884457617564,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-22,0.006955233841169556,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-23,-0.0028128810196031973,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-24,0.00019315717057646897,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-25,0.0012924131656124882,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-26,0.00568813599708673,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-27,0.004876103664842257,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-28,-0.009052953102758804,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-29,0.0008049634759430824,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-30,0.01342990013153253,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-31,0.002798969704777221,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-01,0.0008443640524480878,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-02,-0.010246305605750794,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-03,-0.007580656040883621,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-04,0.008644370119452877,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-05,-0.0019760890890731797,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-06,-0.008409399752869834,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-07,-0.0005893790686939127,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-08,0.0010485306871064193,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-09,-0.008679506903547934,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
