,benzina_eur_l,diesel_eur_l
2019-01-07,0.48331,0.56953
2019-01-14,0.48081,0.5711900000000001
2019-01-21,0.47997,0.60036
2019-01-28,0.48081,0.57369
2019-02-04,0.47331,0.5720299999999999
2019-02-11,0.47914,0.5820299999999999
2019-02-18,0.48831,0.58953
2019-02-25,0.50414,0.60036
2019-03-04,0.49747,0.6028600000000001
2019-03-11,0.50831,0.59869
2019-03-18,0.51247,0.59703
2019-03-25,0.50997,0.59453
2019-04-01,0.52664,0.60203
2019-04-08,0.54331,0.6086900000000001
2019-04-15,0.5658099999999999,0.61703
2019-04-22,0.57456,0.62286
2019-04-29,0.58331,0.6286900000000001
2019-05-06,0.57997,0.62203
2019-05-13,0.5866399999999999,0.62703
2019-05-20,0.59497,0.63119
2019-05-27,0.60081,0.63119
2019-06-03,0.59414,0.62119
2019-06-10,0.56247,0.58786
2019-06-17,0.55914,0.58786
2019-06-24,0.5449700000000001,0.57953
2019-07-01,0.55164,0.5861900000000001
2019-07-08,0.56414,0.5961900000000001
2019-07-15,0.56831,0.59703
2019-07-22,0.56164,0.58369
2019-07-29,0.55914,0.58536
2019-08-05,0.56164,0.58869
2019-08-12,0.5458099999999999,0.57369
2019-08-19,0.53747,0.57036
2019-08-26,0.53914,0.57369
2019-09-02,0.53414,0.57453
2019-09-09,0.5449700000000001,0.58786
2019-09-16,0.54414,0.59036
2019-09-23,0.56414,0.61619
2019-09-30,0.54331,0.6036900000000001
2019-10-07,0.54664,0.59869
2019-10-14,0.53914,0.59536
2019-10-21,0.53331,0.59203
2019-10-28,0.53414,0.59453
2019-11-04,0.53414,0.59203
2019-11-11,0.54331,0.59453
2019-11-18,0.53831,0.5961900000000001
2019-11-25,0.53914,0.59369
2019-12-02,0.54247,0.59453
2019-12-09,0.5449700000000001,0.59869
2019-12-16,0.52997,0.58953
2019-12-23,0.5327500000000001,0.5956400000000001
2019-12-30,0.53553,0.60175
2020-01-06,0.53831,0.6078600000000001
2020-01-13,0.54247,0.6078600000000001
2020-01-20,0.53414,0.5978600000000001
2020-01-27,0.52747,0.59203
2020-02-03,0.51664,0.57869
2020-02-10,0.50747,0.57036
2020-02-17,0.50331,0.55703
2020-02-24,0.51581,0.5661900000000001
2020-03-02,0.49331,0.53869
2020-03-09,0.47081,0.52119
2020-03-16,0.39914,0.46786
2020-03-23,0.41081,0.47369
2020-03-30,0.40914,0.47619
2020-04-06,0.41164,0.47369
2020-04-13,0.393725,0.459525
2020-04-20,0.37581,0.44536000000000003
2020-04-27,0.36913999999999997,0.43369
2020-05-04,0.35831,0.42202999999999996
2020-05-11,0.35581,0.42036
2020-05-18,0.33331,0.40536
2020-05-25,0.34497000000000005,0.40952999999999995
2020-06-01,0.34914,0.41036
2020-06-08,0.35164,0.41619
2020-06-15,0.35747,0.42286
2020-06-22,0.36913999999999997,0.43202999999999997
2020-06-29,0.37997000000000003,0.43953
2020-07-06,0.38239999999999996,0.44237
2020-07-13,0.39073,0.4507
2020-07-20,0.39323,0.45404
2020-07-27,0.3949,0.45154
2020-08-03,0.39323,0.4532
2020-08-10,0.39239999999999997,0.44987
2020-08-17,0.39573,0.45154
2020-08-24,0.3949,0.4482
2020-08-31,0.40573000000000004,0.45404
2020-09-07,0.4024,0.44987
2020-09-14,0.39906,0.44404000000000005
