,benzina_eur_l,diesel_eur_l
2019-01-07,0.48163,0.5598500000000001
2019-01-14,0.48247,0.56826
2019-01-21,0.46987,0.56826
2019-01-28,0.46314999999999995,0.56657
2019-02-04,0.46482999999999997,0.56489
2019-02-11,0.46147000000000005,0.57162
2019-02-18,0.47827,0.5859
2019-02-25,0.46819,0.5901000000000001
2019-03-04,0.48163,0.58926
2019-03-11,0.48752,0.5901000000000001
2019-03-18,0.47658999999999996,0.5884199999999999
2019-03-25,0.50684,0.58674
2019-04-01,0.52785,0.57666
2019-04-08,0.54718,0.58254
2019-04-15,0.57323,0.59851
2019-04-22,0.587515,0.608175
2019-04-29,0.6018,0.6178400000000001
2019-05-06,0.6135700000000001,0.62036
2019-05-13,0.61273,0.6144700000000001
2019-05-20,0.63374,0.62876
2019-05-27,0.63878,0.6178400000000001
2019-06-03,0.6362599999999999,0.6094299999999999
2019-06-10,0.60264,0.58254
2019-06-17,0.5933999999999999,0.5783400000000001
2019-06-24,0.59004,0.5850599999999999
2019-07-01,0.58416,0.58338
2019-07-08,0.57239,0.5724600000000001
2019-07-15,0.5875199999999999,0.5859
2019-07-22,0.55222,0.5732999999999999
2019-07-29,0.56399,0.5775
2019-08-05,0.56483,0.5783400000000001
2019-08-12,0.5413,0.5598500000000001
2019-08-19,0.5387799999999999,0.5691
2019-08-26,0.52953,0.56237
2019-09-02,0.52365,0.56237
2019-09-09,0.5253300000000001,0.56657
2019-09-16,0.52449,0.5775
2019-09-23,0.53542,0.59515
2019-09-30,0.5286900000000001,0.59347
2019-10-07,0.5286900000000001,0.58926
2019-10-14,0.52365,0.58926
2019-10-21,0.51273,0.58338
2019-10-28,0.50937,0.58086
2019-11-04,0.51609,0.5791799999999999
2019-11-11,0.5202899999999999,0.5791799999999999
2019-11-18,0.51777,0.58254
2019-11-25,0.52281,0.58254
2019-12-02,0.52281,0.58338
2019-12-09,0.51105,0.57666
2019-12-16,0.49760000000000004,0.58338
2019-12-23,0.5110466666666668,0.60411
2019-12-30,0.5244933333333334,0.6248400000000001
2020-01-06,0.5379400000000001,0.6455700000000001
2020-01-13,0.52197,0.62876
2020-01-20,0.52281,0.6085900000000001
2020-01-27,0.51609,0.5943099999999999
2020-02-03,0.5194500000000001,0.5775
2020-02-10,0.51861,0.57162
2020-02-17,0.52365,0.57162
2020-02-24,0.53289,0.57078
2020-03-02,0.49927999999999995,0.538
