,benzina_eur_l,diesel_eur_l
2019-01-07,0.5687300000000001,0.62029
2019-01-14,0.57972,0.64202
2019-01-21,0.57957,0.674
2019-01-28,0.57962,0.66334
2019-02-04,0.5774600000000001,0.66011
2019-02-11,0.5776,0.66026
2019-02-18,0.6098899999999999,0.6818500000000001
2019-02-25,0.61529,0.71299
2019-03-04,0.6152799999999999,0.7129800000000001
2019-03-11,0.62607,0.7130599999999999
2019-03-18,0.6366799999999999,0.71294
2019-03-25,0.66862,0.7127
2019-04-01,0.66867,0.7020299999999999
2019-04-08,0.70073,0.7019299999999999
2019-04-15,0.71156,0.71276
2019-04-22,0.7222149999999999,0.7234149999999999
2019-04-29,0.73287,0.73407
2019-05-06,0.72205,0.72326
2019-05-13,0.71128,0.71249
2019-05-20,0.73473,0.71986
2019-05-27,0.73466,0.69837
2019-06-03,0.72402,0.6877300000000001
2019-06-10,0.65973,0.65558
2019-06-17,0.6597999999999999,0.65565
2019-06-24,0.6598999999999999,0.67718
2019-07-01,0.68147,0.67732
2019-07-08,0.68162,0.66675
2019-07-15,0.7027,0.69855
2019-07-22,0.67064,0.66649
2019-07-29,0.692,0.68784
2019-08-05,0.69209,0.6879400000000001
2019-08-12,0.64944,0.65601
2019-08-19,0.64989,0.6618200000000001
2019-08-26,0.6500499999999999,0.68344
2019-09-02,0.6500499999999999,0.67272
2019-09-09,0.66047,0.68313
2019-09-16,0.6384099999999999,0.68247
2019-09-23,0.71239,0.78324
2019-09-30,0.71241,0.77255
2019-10-07,0.65976,0.67167
2019-10-14,0.63825,0.6822999999999999
2019-10-21,0.6595,0.7035399999999999
2019-10-28,0.6487999999999999,0.69284
2019-11-04,0.64875,0.67137
2019-11-11,0.65938,0.68199
2019-11-18,0.6700499999999999,0.6926599999999999
2019-11-25,0.65943,0.6820499999999999
2019-12-02,0.6701699999999999,0.7035
2019-12-09,0.66686,0.6852
2019-12-16,0.6775,0.68512
2019-12-23,0.6907,0.7087133333333333
2019-12-30,0.7039000000000001,0.7323066666666667
2020-01-06,0.7171000000000001,0.7559
2020-01-13,0.69569,0.73449
2020-01-20,0.68504,0.70243
2020-01-27,0.67431,0.69171
2020-02-03,0.65289,0.65958
2020-02-10,0.63152,0.6489199999999999
2020-02-17,0.64243,0.65983
2020-02-24,0.66386,0.65985
2020-03-02,0.6207699999999999,0.62746
2020-03-09,0.59964,0.62775
2020-03-16,0.49551,0.56536
2020-03-23,0.44213,0.54413
2020-03-30,0.43165,0.5444199999999999
2020-04-06,0.39954,0.50161
2020-04-13,0.399745,0.49114
2020-04-20,0.39994999999999997,0.48067000000000004
2020-04-27,0.38919,0.427
2020-05-04,0.41047,0.44826
2020-05-11,0.43207,0.4377
2020-05-18,0.44307,0.4487
2020-05-25,0.46441000000000004,0.47004
2020-06-01,0.46453,0.45943
2020-06-08,0.48595,0.49157999999999996
2020-06-15,0.49665,0.49156
2020-06-22,0.54076,0.51313
2020-06-29,0.51938,0.51321
2020-07-06,0.54096,0.5240499999999999
2020-07-13,0.5522,0.53527
2020-07-20,0.5304800000000001,0.5243
2020-07-27,0.5415399999999999,0.5353600000000001
2020-08-03,0.51983,0.5244
2020-08-10,0.54123,0.5350499999999999
2020-08-17,0.55633,0.5233
2020-08-24,0.5673400000000001,0.52354
2020-08-31,0.56731,0.52352
2020-09-07,0.55677,0.5022099999999999
2020-09-14,0.55687,0.48079
