,benzina_eur_l,diesel_eur_l
2019-01-07,0.46767000000000003,0.66347
2019-01-14,0.48461000000000004,0.66024
2019-01-21,0.4838,0.66992
2019-01-28,0.483,0.67798
2019-02-04,0.46203,0.65863
2019-02-11,0.47897,0.67153
2019-02-18,0.49026,0.68363
2019-02-25,0.47413,0.66508
2019-03-04,0.51122,0.69814
2019-03-11,0.51203,0.70298
2019-03-18,0.5128400000000001,0.6973400000000001
2019-03-25,0.51364,0.69008
2019-04-01,0.533,0.67879
2019-04-08,0.56284,0.68363
2019-04-15,0.58138,0.69169
2019-04-22,0.594285,0.694915
2019-04-29,0.60719,0.69814
2019-05-06,0.60558,0.69492
2019-05-13,0.6015499999999999,0.6868500000000001
2019-05-20,0.61687,0.69814
2019-05-27,0.6160599999999999,0.6957300000000001
2019-06-03,0.61042,0.6876599999999999
2019-06-10,0.59993,0.6755599999999999
2019-06-17,0.5886399999999999,0.66669
2019-06-24,0.57574,0.65298
2019-07-01,0.56284,0.64411
2019-07-08,0.57816,0.6505599999999999
2019-07-15,0.5821900000000001,0.6449199999999999
2019-07-22,0.57171,0.6344299999999999
2019-07-29,0.59348,0.66508
2019-08-05,0.58784,0.6610499999999999
2019-08-12,0.56848,0.6416900000000001
2019-08-19,0.5749299999999999,0.65298
2019-08-26,0.56687,0.6465299999999999
2019-09-02,0.54026,0.62314
2019-09-09,0.5475099999999999,0.64976
2019-09-16,0.55235,0.66185
2019-09-23,0.5862200000000001,0.7175
2019-09-30,0.56929,0.6989500000000001
2019-10-07,0.56284,0.6860499999999999
2019-10-14,0.55477,0.68363
2019-10-21,0.56364,0.6876599999999999
2019-10-28,0.5499299999999999,0.68121
2019-11-04,0.54267,0.6755599999999999
2019-11-11,0.55638,0.68524
2019-11-18,0.55235,0.6868500000000001
2019-11-25,0.56284,0.70137
2019-12-02,0.5475099999999999,0.6804
2019-12-09,0.56122,0.69653
2019-12-16,0.5588,0.69492
2019-12-23,0.5650133333333334,0.70597
2019-12-30,0.5712266666666667,0.71702
2020-01-06,0.5774400000000001,0.72807
2020-01-13,0.57986,0.73372
2020-01-20,0.5726,0.7224299999999999
2020-01-27,0.55002,0.70388
2020-02-03,0.5540499999999999,0.6958099999999999
2020-02-10,0.5395399999999999,0.67888
2020-02-17,0.60405,0.66839
2020-02-24,0.6056699999999999,0.66114
2020-03-02,0.52744,0.65791
2020-03-09,0.50728,0.6353300000000001
2020-03-16,0.46454,0.58372
2020-03-23,0.49518,0.55549
2020-03-30,0.40647000000000005,0.5458099999999999
2020-04-06,0.39033999999999996,0.53614
2020-04-13,0.37381,0.52162
2020-04-20,0.35728,0.5071
2020-04-27,0.35405000000000003,0.50549
2020-05-04,0.3476,0.49501
2020-05-11,0.31938,0.46758999999999995
2020-05-18,0.35405000000000003,0.47888
2020-05-25,0.3347,0.4571
2020-06-01,0.36695999999999995,0.46194
2020-06-08,0.37018,0.46597000000000005
2020-06-15,0.38631,0.47646
2020-06-22,0.3855,0.47081
2020-06-29,0.41292,0.48775
2020-07-06,0.4105,0.49339
2020-07-13,0.42744,0.49985
2020-07-20,0.43712,0.5071
2020-07-27,0.44357,0.51597
2020-08-03,0.40811000000000003,0.496
2020-08-10,0.42182,0.51052
2020-08-17,0.41376,0.4952
2020-08-24,0.42102,0.50246
2020-08-31,0.42424,0.49923
2020-09-07,0.42424,0.49197
2020-09-14,0.41537,0.47826
2020-09-21,0.41134,0.47988
2020-09-28,0.4186,0.47504
2020-10-05,0.42889,0.46702
2020-10-12,0.43533999999999995,0.47589
2020-10-19,0.43533999999999995,0.47992
2020-10-26,0.41437,0.47428
2020-11-02,0.42727,0.4767
2020-11-09,0.38856,0.46299
2020-11-16,0.39098,0.48395
2020-11-23,0.39985000000000004,0.48395
2020-11-30,0.39421,0.48960000000000004
2020-12-07,0.39905,0.49927999999999995
2020-12-14,0.40711,0.48073
2020-12-21,0.42243,0.53234
2020-12-28,0.43221333333333334,0.5473533333333334
2021-01-04,0.44199666666666665,0.5623666666666667
2021-01-11,0.45177999999999996,0.57738
2021-01-18,0.49291,0.61851
2021-01-25,0.5042,0.629
2021-02-01,0.50178,0.629
2021-02-08,0.5042,0.62738
2021-02-15,0.51388,0.63746
2021-02-22,0.5163,0.64754
2021-03-01,0.5292,0.65883
2021-03-08,0.53727,0.6644800000000001
2021-03-15,0.56388,0.6814199999999999
2021-03-22,0.58082,0.6959299999999999
2021-03-29,0.58001,0.68948
2021-04-05,0.588075,0.69351
2021-04-12,0.59614,0.6975399999999999
2021-04-19,0.58404,0.68303
2021-04-26,0.58727,0.679
2021-05-03,0.58404,0.6725399999999999
2021-05-10,0.59049,0.6660900000000001
2021-05-17,0.59372,0.6660900000000001
2021-05-24,0.5912999999999999,0.67577
2021-05-31,0.59372,0.6765800000000001
2021-06-07,0.58082,0.6725399999999999
2021-06-14,0.5880700000000001,0.67496
2021-06-21,0.59856,0.6798
2021-06-28,0.6074299999999999,0.68867
2021-07-05,0.61872,0.69835
2021-07-12,0.6469400000000001,0.71448
2021-07-19,0.6453300000000001,0.7136699999999999
2021-07-26,0.64211,0.7096399999999999
2021-08-02,0.6542,0.7169
2021-08-09,0.65904,0.71287
2021-08-16,0.65985,0.7120599999999999
2021-08-23,0.65824,0.7096399999999999
2021-08-30,0.6461399999999999,0.70077
2021-09-06,0.6469400000000001,0.70077
2021-09-13,0.66711,0.72335
2021-09-20,0.66469,0.71851
2021-09-27,0.66227,0.729
2021-10-04,0.6792,0.7483500000000001
2021-10-11,0.69372,0.77174
2021-10-18,0.69856,0.78061
2021-10-25,0.73485,0.80803
2021-11-01,0.7413,0.81529
2021-11-08,0.82356,0.82174
2021-11-15,0.7808200000000001,0.84109
2021-11-22,0.78888,0.84513
2021-11-29,0.7751699999999999,0.84029
2021-12-06,0.74372,0.81448
2021-12-13,0.70904,0.80883
2021-12-20,0.72436,0.8209299999999999
2021-12-27,0.757025,0.86448
2022-01-03,0.78969,0.90803
2022-01-10,0.7792,0.89835
2022-01-17,0.7751699999999999,0.90964
2022-01-24,0.8034,0.94432
2022-01-31,0.8001699999999999,0.94996
2022-02-07,0.81469,0.96448
2022-02-14,0.83324,0.98303
2022-02-21,0.83969,0.99109
2022-02-28,0.86065,1.0056100000000001
2022-03-07,0.96711,1.12738
2022-03-14,1.0751700000000002,1.37093
2022-03-21,0.99533,1.27577
2022-03-28,1.00662,1.2773800000000002
2022-04-04,1.01146,1.3064200000000001
2022-04-11,1.02436,1.2773800000000002
2022-04-18,1.02759,1.2697200000000002
2022-04-25,1.0308199999999998,1.26206
2022-05-02,1.01872,1.2548
2022-05-09,1.0663,1.29754
2022-05-16,1.09775,1.29754
2022-05-23,1.1888800000000002,1.29593
2022-05-30,1.18727,1.27174
2022-06-06,1.29291,1.3233499999999998
2022-06-13,1.34049,1.42416
2022-06-20,1.33001,1.46609
2022-06-27,1.31227,1.49674
2022-07-04,1.22033,1.39432
2022-07-11,1.16388,1.3451300000000002
2022-07-18,1.13807,1.29916
2022-07-25,1.0880699999999999,1.27577
2022-08-01,1.04372,1.22577
2022-08-08,1.02275,1.1999600000000001
2022-08-15,0.98888,1.1701300000000001
2022-08-22,0.98324,1.17496
2022-08-29,0.98888,1.2088299999999998
2022-09-05,0.95904,1.2201300000000002
2022-09-12,0.95098,1.23625
2022-09-19,0.9001699999999999,1.1846400000000001
2022-09-26,0.8856499999999999,1.14351
2022-10-03,0.88082,1.16045
2022-10-10,0.90904,1.18787
2022-10-17,0.93969,1.24351
2022-10-24,0.9348500000000001,1.27496
2022-10-31,0.9364600000000001,1.28545
2022-11-07,0.92759,1.27254
2022-11-14,0.91307,1.28625
2022-11-21,0.88485,1.25077
2022-11-28,0.8542000000000001,1.19754
2022-12-05,0.8284,1.16448
2022-12-12,0.7913,1.1193199999999999
2022-12-19,0.73727,1.03948
2022-12-26,0.7703300000000001,1.09029
