,benzina_eur_l,diesel_eur_l
2019-01-07,0.45964,0.55168
2019-01-14,0.49022000000000004,0.58143
2019-01-21,0.49518,0.58557
2019-01-28,0.49848000000000003,0.593
2019-02-04,0.48939,0.5897
2019-02-11,0.49518,0.5963099999999999
2019-02-18,0.51749,0.6177999999999999
2019-02-25,0.5340199999999999,0.62854
2019-03-04,0.5249299999999999,0.6211
2019-03-11,0.5340199999999999,0.62854
2019-03-18,0.54477,0.62606
2019-03-25,0.55386,0.6211
2019-04-01,0.5802999999999999,0.6194500000000001
2019-04-08,0.5993099999999999,0.62524
2019-04-15,0.6207999999999999,0.63598
2019-04-22,0.62617,0.64259
2019-04-29,0.63154,0.6492
2019-05-06,0.62741,0.65003
2019-05-13,0.6166699999999999,0.64176
2019-05-20,0.63898,0.6558099999999999
2019-05-27,0.6365,0.6459
2019-06-03,0.62328,0.6343300000000001
2019-06-10,0.5902200000000001,0.6004400000000001
2019-06-17,0.5687300000000001,0.58061
2019-06-24,0.55468,0.5897
2019-07-01,0.57452,0.60788
2019-07-08,0.5753400000000001,0.60292
2019-07-15,0.60096,0.6186200000000001
2019-07-22,0.59353,0.60705
2019-07-29,0.58526,0.60623
2019-08-05,0.59353,0.61036
2019-08-12,0.56708,0.58805
2019-08-19,0.56212,0.58805
2019-08-26,0.56129,0.5987899999999999
2019-09-02,0.55468,0.59548
2019-09-09,0.55468,0.6087100000000001
2019-09-16,0.55799,0.62606
2019-09-23,0.58939,0.65003
2019-09-30,0.57204,0.6401100000000001
2019-10-07,0.57452,0.62771
2019-10-14,0.55716,0.62771
2019-10-21,0.55551,0.62854
2019-10-28,0.56377,0.62937
2019-11-04,0.5687300000000001,0.62606
2019-11-11,0.58278,0.63102
2019-11-18,0.56956,0.62606
2019-11-25,0.57865,0.62937
2019-12-02,0.57865,0.6409400000000001
2019-12-09,0.57204,0.63102
2019-12-16,0.58196,0.6401100000000001
2019-12-23,0.5912566666666667,0.65317
2019-12-30,0.6005533333333334,0.66623
2020-01-06,0.60985,0.67929
2020-01-13,0.6082000000000001,0.67598
2020-01-20,0.59415,0.6520199999999999
2020-01-27,0.58341,0.6363099999999999
2020-02-03,0.57101,0.62061
2020-02-10,0.5652200000000001,0.60821
2020-02-17,0.56357,0.6106900000000001
2020-02-24,0.58175,0.62474
2020-03-02,0.55613,0.5974700000000001
2020-03-09,0.5321699999999999,0.5735
2020-03-16,0.47349,0.51648
2020-03-23,0.47101,0.51483
2020-03-30,0.43299,0.51152
2020-04-06,0.41233,0.51235
2020-04-13,0.409025,0.50739
2020-04-20,0.40572,0.50243
2020-04-27,0.39663,0.48177
2020-05-04,0.39911,0.48177
2020-05-11,0.40324,0.48258999999999996
2020-05-18,0.41729,0.47268
2020-05-25,0.43712,0.47929
2020-06-01,0.43960000000000005,0.47433
2020-06-08,0.44622,0.47268
2020-06-15,0.46026999999999996,0.47846
2020-06-22,0.48093,0.49086
2020-06-29,0.48506,0.49334
2020-07-06,0.48506,0.49747
2020-07-13,0.48836,0.49995
2020-07-20,0.47845,0.49499
2020-07-27,0.48175,0.49747
2020-08-03,0.47266,0.48755000000000004
2020-08-10,0.47927,0.49002999999999997
2020-08-17,0.49084,0.48921
2020-08-24,0.48836,0.4859
2020-08-31,0.49498000000000003,0.48342
2020-09-07,0.49084,0.46607
2020-09-14,0.47927,0.44623
2020-09-21,0.48754000000000003,0.44871
2020-09-28,0.48175,0.44623
2020-10-05,0.48588,0.45119
2020-10-12,0.4925,0.46276
2020-10-19,0.48506,0.46111
2020-10-26,0.47018,0.46276
2020-11-02,0.44787,0.44623
2020-11-09,0.44126,0.45202
2020-11-16,0.45531,0.47268
2020-11-23,0.45448,0.47846
2020-11-30,0.46936,0.49912
2020-12-07,0.4677,0.4983
2020-12-14,0.47597,0.50656
2020-12-21,0.48175,0.5156499999999999
2020-12-28,0.49152999999999997,0.5214766666666666
2021-01-04,0.5013099999999999,0.5273033333333333
2021-01-11,0.5110899999999999,0.53313
2021-01-18,0.52762,0.55049
2021-01-25,0.52349,0.54635
2021-02-01,0.5301,0.55296
2021-02-08,0.55655,0.5777599999999999
2021-02-15,0.56233,0.5852
2021-02-22,0.5813400000000001,0.61082
2021-03-01,0.59126,0.62073
2021-03-08,0.60117,0.6256900000000001
2021-03-15,0.62266,0.63148
2021-03-22,0.6144,0.61991
2021-03-29,0.60613,0.6133
2021-04-05,0.6094350000000001,0.612885
2021-04-12,0.6127400000000001,0.6124700000000001
2021-04-19,0.62679,0.61991
2021-04-26,0.63588,0.62321
2021-05-03,0.6425,0.6339600000000001
2021-05-10,0.64911,0.64139
2021-05-17,0.65076,0.6389199999999999
2021-05-24,0.6408400000000001,0.6306499999999999
2021-05-31,0.63919,0.6306499999999999
2021-06-07,0.65489,0.6521399999999999
2021-06-14,0.65407,0.65792
2021-06-21,0.66646,0.6719700000000001
2021-06-28,0.67886,0.67776
2021-07-05,0.6896,0.6852
2021-07-12,0.6962200000000001,0.68272
2021-07-19,0.69952,0.68024
2021-07-26,0.69043,0.67776
2021-08-02,0.7028300000000001,0.6835399999999999
2021-08-09,0.702,0.67776
2021-08-16,0.70035,0.67528
2021-08-23,0.69126,0.66867
2021-08-30,0.69952,0.68106
2021-09-06,0.70365,0.6901499999999999
2021-09-13,0.7077899999999999,0.6934600000000001
2021-09-20,0.7152200000000001,0.70916
2021-09-27,0.71274,0.7174299999999999
2021-10-04,0.7177,0.72321
2021-10-11,0.77803,0.7885
2021-10-18,0.79787,0.81577
2021-10-25,0.80365,0.82321
2021-11-01,0.81357,0.82569
2021-11-08,0.82514,0.82487
2021-11-15,0.84084,0.8273400000000001
2021-11-22,0.84746,0.83065
2021-11-29,0.83754,0.8207300000000001
2021-12-06,0.8144,0.7984199999999999
2021-12-13,0.81109,0.79759
2021-12-20,0.8011699999999999,0.79015
2021-12-27,0.80126,0.796265
2022-01-03,0.80135,0.80238
2022-01-10,0.80383,0.82304
2022-01-17,0.80879,0.8403999999999999
2022-01-24,0.82284,0.86685
2022-01-31,0.82945,0.8817200000000001
2022-02-07,0.8443200000000001,0.89247
2022-02-14,0.86085,0.9081699999999999
2022-02-21,0.86664,0.90652
2022-02-28,0.903,0.94123
2022-03-07,1.0162200000000001,1.0932899999999999
2022-03-14,1.0988699999999998,1.29825
2022-03-21,1.0592000000000001,1.2420499999999999
2022-03-28,1.09474,1.27098
2022-04-04,1.08674,1.25718
2022-04-11,1.06443,1.22991
2022-04-18,1.0656700000000001,1.22743
2022-04-25,1.06691,1.22495
2022-05-02,1.08674,1.2456099999999999
2022-05-09,1.12063,1.26545
2022-05-16,1.1421199999999998,1.21752
2022-05-23,1.1801300000000001,1.1894200000000001
2022-05-30,1.20079,1.19603
2022-06-06,1.2983099999999999,1.28115
2022-06-13,1.2991400000000002,1.36628
2022-06-20,1.2884,1.38198
2022-06-27,1.2718699999999998,1.3803299999999998
2022-07-04,1.24708,1.36049
2022-07-11,1.20162,1.31999
2022-07-18,1.15121,1.26958
2022-07-25,1.1123599999999998,1.2241300000000002
2022-08-01,1.1024500000000002,1.22495
2022-08-08,1.06443,1.19933
2022-08-15,1.0446,1.1795
2022-08-22,1.02559,1.1778499999999998
2022-08-29,1.03385,1.27785
2022-09-05,1.0032699999999999,1.26628
2022-09-12,0.98427,1.25801
2022-09-19,0.9487300000000001,1.2100799999999998
2022-09-26,0.93468,1.1803299999999999
2022-10-03,0.94294,1.18528
2022-10-10,0.97104,1.26214
2022-10-17,1.02063,1.32495
2022-10-24,1.01402,1.34396
2022-10-31,1.0041,1.3357
2022-11-07,1.0181499999999999,1.28694
2022-11-14,0.9479,1.1753699999999998
2022-11-21,0.86998,1.09853
2022-11-28,0.8355,1.05636
2022-12-05,0.8280700000000001,1.04892
2022-12-12,0.77104,0.99024
2022-12-19,0.78096,1.02165
2022-12-26,0.7933600000000001,1.0241300000000002
2023-01-02,0.8247599999999999,1.04644
2023-01-09,0.83137,1.0406600000000001
2023-01-16,0.8396399999999999,1.0357
2023-01-23,0.86112,1.04892
2023-01-30,0.88179,1.07785
2023-02-06,0.85782,1.01917
2023-02-13,0.84294,0.96545
2023-02-20,0.84212,0.9464400000000001
2023-02-27,0.8305499999999999,0.92991
2023-03-06,0.8536900000000001,0.95884
2023-03-13,0.85451,0.93983
2023-03-20,0.81236,0.8919
2023-03-27,0.82889,0.9076000000000001
2023-04-03,0.8636,0.9059400000000001
2023-04-10,0.8958400000000001,0.91338
2023-04-17,0.89336,0.8976799999999999
2023-04-24,0.85699,0.86049
2023-05-01,0.84625,0.8357
2023-05-08,0.8214600000000001,0.80677
2023-05-15,0.8305499999999999,0.81504
2023-05-22,0.83468,0.81917
2023-05-29,0.8446,0.82165
2023-06-05,0.83716,0.81586
2023-06-12,0.8528600000000001,0.8299099999999999
2023-06-19,0.8528600000000001,0.8357
2023-06-26,0.85203,0.8447899999999999
