,benzina_eur_l,diesel_eur_l
2019-01-07,0.48963,0.5538099999999999
2019-01-14,0.4868,0.5514600000000001
2019-01-21,0.49421,0.55988
2019-01-28,0.49660000000000004,0.56349
2019-02-04,0.5006,0.56753
2019-02-11,0.50786,0.5725
2019-02-18,0.51567,0.5809
2019-02-25,0.52953,0.5955900000000001
2019-03-04,0.5357999999999999,0.60135
2019-03-11,0.54104,0.60651
2019-03-18,0.5454,0.60914
2019-03-25,0.5526,0.6098
2019-04-01,0.5614,0.61023
2019-04-08,0.5737300000000001,0.61142
2019-04-15,0.58688,0.6166200000000001
2019-04-22,0.59558,0.6224400000000001
2019-04-29,0.6042799999999999,0.62826
2019-05-06,0.60587,0.62774
2019-05-13,0.60424,0.62713
2019-05-20,0.60289,0.62666
2019-05-27,0.6086,0.6323
2019-06-03,0.60103,0.62388
2019-06-10,0.5879500000000001,0.60999
2019-06-17,0.57962,0.60126
2019-06-24,0.57489,0.5962799999999999
2019-07-01,0.57386,0.59477
2019-07-08,0.5752200000000001,0.59645
2019-07-15,0.58041,0.59938
2019-07-22,0.58302,0.60146
2019-07-29,0.57653,0.5943099999999999
2019-08-05,0.5768,0.59472
2019-08-12,0.56662,0.585
2019-08-19,0.55996,0.5783400000000001
2019-08-26,0.5573899999999999,0.57673
2019-09-02,0.55526,0.5752200000000001
2019-09-09,0.5545399999999999,0.57521
2019-09-16,0.5589,0.5819
2019-09-23,0.57462,0.59825
2019-09-30,0.57645,0.60036
2019-10-07,0.5712,0.595
2019-10-14,0.56592,0.58994
2019-10-21,0.56212,0.58747
2019-10-28,0.56003,0.58582
2019-11-04,0.5604600000000001,0.58689
2019-11-11,0.5615399999999999,0.58776
2019-11-18,0.56161,0.58751
2019-11-25,0.5638099999999999,0.5877100000000001
2019-12-02,0.56732,0.5927
2019-12-09,0.5670299999999999,0.5925
2019-12-16,0.5650499999999999,0.5911000000000001
2019-12-23,0.5683633333333333,0.5951533333333334
2019-12-30,0.5716766666666666,0.5992066666666667
2020-01-06,0.57499,0.60326
2020-01-13,0.57796,0.6066699999999999
2020-01-20,0.57251,0.60274
2020-01-27,0.57253,0.59762
2020-02-03,0.55889,0.5866699999999999
2020-02-10,0.5459299999999999,0.57167
2020-02-17,0.53975,0.56404
2020-02-24,0.5384,0.56245
2020-03-02,0.5340199999999999,0.5565
2020-03-09,0.5194,0.5417799999999999
2020-03-16,0.49831,0.52115
2020-03-23,0.48264,0.5043
2020-03-30,0.46549,0.48736
2020-04-06,0.44931,0.47114
2020-04-13,0.43884,0.46229
2020-04-20,0.42837000000000003,0.45344
2020-04-27,0.41226,0.43757
2020-05-04,0.39806,0.42125
2020-05-11,0.388,0.40948
2020-05-18,0.38369,0.40505
