date,benzina_pump,gasolio_pump,tax_wedge_benz,tax_wedge_gas,benzina_net,gasolio_net
2015-01-01,1.51900,1.41900,1.01317,0.88536,0.50583,0.53364
2015-01-02,1.51800,1.41900,1.01317,0.88536,0.50483,0.53364
2015-01-03,1.51100,1.41500,1.01317,0.88536,0.49783,0.52964
2015-01-04,1.50900,1.41200,1.01317,0.88536,0.49583,0.52664
2015-01-05,1.50900,1.41100,0.99993,0.87449,0.50907,0.53651
2015-01-06,1.50700,1.40900,0.99993,0.87449,0.50707,0.53451
2015-01-07,1.50500,1.40900,0.99993,0.87449,0.50507,0.53451
2015-01-08,1.49900,1.40100,0.99993,0.87449,0.49907,0.52651
2015-01-09,1.49800,1.39900,0.99993,0.87449,0.49807,0.52451
2015-01-10,1.49000,1.39600,0.99993,0.87449,0.49007,0.52151
2015-01-11,1.48900,1.39200,0.99993,0.87449,0.48907,0.51751
2015-01-12,1.48900,1.38900,0.99399,0.86767,0.49501,0.52133
2015-01-13,1.48100,1.38700,0.99399,0.86767,0.48701,0.51933
2015-01-16,1.46900,1.37200,0.99399,0.86767,0.47501,0.50433
2015-01-17,1.46400,1.36900,0.99399,0.86767,0.47001,0.50133
2015-01-18,1.45900,1.36400,0.99399,0.86767,0.46501,0.49633
2015-01-19,1.45900,1.36400,0.98957,0.86264,0.46943,0.50136
2015-01-20,1.45700,1.35900,0.98957,0.86264,0.46743,0.49636
2015-01-21,1.45300,1.35700,0.98957,0.86264,0.46343,0.49436
2015-01-22,1.48900,1.39400,0.98957,0.86264,0.49943,0.53136
2015-01-23,1.48800,1.39100,0.98957,0.86264,0.49843,0.52836
2015-01-24,1.48600,1.38900,0.98957,0.86264,0.49643,0.52636
2015-01-25,1.48600,1.38900,0.98957,0.86264,0.49643,0.52636
2015-01-26,1.48600,1.38900,0.98754,0.86048,0.49846,0.52852
2015-01-27,1.48600,1.38900,0.98754,0.86048,0.49846,0.52852
2015-01-28,1.48700,1.38900,0.98754,0.86048,0.49946,0.52852
2015-01-29,1.48700,1.38900,0.98754,0.86048,0.49946,0.52852
2015-01-30,1.48700,1.38900,0.98754,0.86048,0.49946,0.52852
2015-01-31,1.48800,1.38900,0.98754,0.86048,0.50046,0.52852
2015-02-01,1.48800,1.38900,0.98754,0.86048,0.50046,0.52852
2015-02-02,1.48800,1.38900,0.98910,0.86196,0.49890,0.52704
2015-02-03,1.48900,1.39000,0.98910,0.86196,0.49990,0.52804
2015-02-04,1.49200,1.39700,0.98910,0.86196,0.50290,0.53504
2015-02-05,1.49900,1.40200,0.98910,0.86196,0.50990,0.54004
2015-02-06,1.50400,1.40900,0.98910,0.86196,0.51490,0.54704
2015-02-07,1.50900,1.41400,0.98910,0.86196,0.51990,0.55204
2015-02-08,1.51200,1.41800,0.98910,0.86196,0.52290,0.55604
2015-02-09,1.51500,1.41900,0.99479,0.61978,0.52021,0.79922
2015-02-10,1.51900,1.42400,0.99479,0.61978,0.52421,0.80422
2015-02-11,1.52900,1.43100,0.99479,0.61978,0.53421,0.81122
2015-02-12,1.53600,1.43900,0.99479,0.61978,0.54121,0.81922
2015-02-13,1.53900,1.44000,0.99479,0.61978,0.54421,0.82022
2015-02-14,1.54000,1.44400,0.99479,0.61978,0.54521,0.82422
2015-02-15,1.54400,1.44800,0.99479,0.61978,0.54921,0.82822
2015-02-16,1.54500,1.44900,1.00136,0.87418,0.54364,0.57482
2015-02-17,1.54900,1.45400,1.00136,0.87418,0.54764,0.57982
2015-02-18,1.55400,1.45900,1.00136,0.87418,0.55264,0.58482
2015-02-19,1.55600,1.45900,1.00136,0.87418,0.55464,0.58482
2015-02-20,1.55800,1.46200,1.00136,0.87418,0.55664,0.58782
2015-02-21,1.55900,1.46400,1.00136,0.87418,0.55764,0.58982
2015-02-22,1.55900,1.46500,1.00136,0.87418,0.55764,0.59082
2015-02-23,1.56000,1.46600,1.00497,0.87825,0.55503,0.58775
2015-02-24,1.56400,1.46900,1.00497,0.87825,0.55903,0.59075
2015-02-25,1.56500,1.46900,1.00497,0.87825,0.56003,0.59075
2015-02-26,1.53800,1.43900,1.00497,0.87825,0.53303,0.56075
2015-02-27,1.53700,1.43900,1.00497,0.87825,0.53203,0.56075
2015-02-28,1.53900,1.43900,1.00497,0.87825,0.53403,0.56075
2015-03-01,1.53900,1.43900,1.00497,0.87825,0.53403,0.56075
2015-03-02,1.53900,1.43900,1.00733,0.88073,0.53167,0.55827
2015-03-03,1.54200,1.44100,1.00733,0.88073,0.53467,0.56027
2015-03-04,1.54500,1.44400,1.00733,0.88073,0.53767,0.56327
2015-03-05,1.54900,1.44500,1.00733,0.88073,0.54167,0.56427
2015-03-06,1.54900,1.44700,1.00733,0.88073,0.54167,0.56627
2015-03-07,1.54900,1.44800,1.00733,0.88073,0.54167,0.56727
2015-03-08,1.54900,1.44800,1.00733,0.88073,0.54167,0.56727
2015-03-09,1.55200,1.44900,1.01013,0.88219,0.54187,0.56681
2015-03-10,1.55900,1.44900,1.01013,0.88219,0.54887,0.56681
2015-03-11,1.55900,1.44900,1.01013,0.88219,0.54887,0.56681
2015-03-12,1.55900,1.44900,1.01013,0.88219,0.54887,0.56681
