evento,carburante,split_type,split_label,preliminare,shock_date,split_date,lag_split_vs_shock_gg,tau_price,tau_margin,tau_margin_t_stat,lag_tau_margin_vs_price_gg,tau_lag_interpretation,mu_baseline_2019,soglia_2sigma,n_pre,n_post,delta_vs_baseline,delta_local,delta_pre_vs_bl,anomalo_2sigma,pre_anomalo_2sigma,boot_delta,boot_CI_lo,boot_CI_hi,t_stat,t_p,t_p_pre,mw_U,mw_AUC,mw_p_one,mw_hodges_lehmann,mw_cliffs_delta,mw_magnitude,mw_n_2019,perm_delta,perm_p,hac_delta,hac_p,n_tests_reject,consensus_2of4,classificazione,BH_reject,t_p_BH_adj
Ucraina (Feb 2022),Benzina,shock_hard,Data shock (hardcoded),False,2022-02-24,2022-02-24,0,2022-01-03,2022-03-14,-3.712,,N/A,0.16827,0.03772,25,27,0.089,0.05804,0.03095,True,False,0.05835,0.01771,0.09759,4.49,0.0001,0.0,1056.0,0.752,0.0001,0.10658,0.504,grande,52,0.07597,0.0141,0.05804,0.0862,3,True,Margine anomalo positivo,True,0.00012000000000000002
Ucraina (Feb 2022),Benzina,tau_price,"τ_price (changepoint log-prezzo, MCMC)",False,2022-02-24,2022-01-03,-52,2022-01-03,2022-03-14,-3.712,,N/A,0.16827,0.03772,17,35,0.07446,0.04091,0.03356,True,False,0.04047,0.00589,0.07465,4.6692,0.0,0.0002,1410.0,0.775,0.0,0.06642,0.549,grande,52,0.03773,0.1265,0.04091,0.1782,2,True,Margine anomalo positivo,True,0.0
Ucraina (Feb 2022),Benzina,tau_margin,τ_margin (changepoint strutturale margine),False,2022-02-24,2022-03-14,18,2022-01-03,2022-03-14,-3.712,70.0,REATTIVO (+70gg): τ_margin segue τ_price,0.16827,0.03772,27,25,0.10087,0.07661,0.02426,True,False,0.07719,0.03624,0.11489,5.2117,0.0,0.0011,1046.0,0.805,0.0,0.1192,0.609,grande,52,0.09499,0.009,0.07661,0.0388,4,True,Margine anomalo positivo,True,0.0
Ucraina (Feb 2022),Diesel,shock_hard,Data shock (hardcoded),False,2022-02-24,2022-02-24,0,2022-01-03,2022-03-14,-3.5,,N/A,0.14878,0.03667,25,27,0.07253,0.04688,0.02566,True,False,0.04681,0.00326,0.08589,3.5308,0.0008,0.0008,1088.0,0.775,0.0,0.075,0.55,grande,52,0.03825,0.0359,0.04688,0.0975,3,True,Margine anomalo positivo,True,0.0008727272727272728
Ucraina (Feb 2022),Diesel,tau_price,"τ_price (changepoint log-prezzo, MCMC)",False,2022-02-24,2022-01-03,-52,2022-01-03,2022-03-14,-3.5,,N/A,0.14878,0.03667,17,35,0.05634,0.01941,0.03693,True,True,0.01886,-0.01619,0.05444,3.3787,0.0009,0.0003,1307.0,0.718,0.0003,0.05016,0.436,medio,52,0.01136,0.3524,0.01941,0.4957,2,True,Margine anomalo positivo,True,0.0009000000000000001
Ucraina (Feb 2022),Diesel,tau_margin,τ_margin (changepoint strutturale margine),False,2022-02-24,2022-03-14,18,2022-01-03,2022-03-14,-3.5,70.0,REATTIVO (+70gg): τ_margin segue τ_price,0.14878,0.03667,27,25,0.0886,0.07435,0.01425,True,False,0.07456,0.03306,0.11525,4.9626,0.0,0.1135,1087.0,0.836,0.0,0.08563,0.672,grande,52,0.06018,0.0064,0.07435,0.0137,4,True,Margine anomalo positivo,True,0.0
Iran-Israele (Giu 2025),Benzina,shock_hard,Data shock (hardcoded),False,2025-06-13,2025-06-13,0,2025-04-28,2025-04-21,2.779,,N/A,0.16827,0.03772,23,20,0.07935,-0.00637,0.08572,True,True,-0.00629,-0.01951,0.00556,20.4841,0.0,0.0,1040.0,1.0,0.0,0.07768,1.0,grande,52,-0.00605,0.7255,-0.00637,0.5259,2,True,Compressione margine,True,0.0
Iran-Israele (Giu 2025),Benzina,tau_price,"τ_price (changepoint log-prezzo, MCMC)",False,2025-06-13,2025-04-28,-46,2025-04-28,2025-04-21,2.779,,N/A,0.16827,0.03772,16,27,0.07578,-0.01876,0.09454,True,True,-0.01883,-0.03269,-0.00545,22.9003,0.0,0.0,1404.0,1.0,0.0,0.07423,1.0,grande,52,-0.01651,0.9149,-0.01876,0.0666,2,True,Compressione margine,True,0.0
Iran-Israele (Giu 2025),Benzina,tau_margin,τ_margin (changepoint strutturale margine),False,2025-06-13,2025-04-21,-53,2025-04-28,2025-04-21,2.779,-7.0,SINCRONO (-7gg): τ_margin e τ_price coincidono,0.16827,0.03772,15,28,0.07574,-0.02012,0.09586,True,True,-0.02024,-0.03395,-0.00625,23.7516,0.0,0.0,1456.0,1.0,0.0,0.07423,1.0,grande,52,-0.01649,0.928,-0.02012,0.0575,2,True,Compressione margine,True,0.0
Iran-Israele (Giu 2025),Diesel,shock_hard,Data shock (hardcoded),False,2025-06-13,2025-06-13,0,2025-05-05,2025-06-02,3.032,,N/A,0.14878,0.03667,23,20,0.06043,-0.0209,0.08133,True,True,-0.02103,-0.03936,-0.0033,9.3167,0.0,0.0,978.0,0.94,0.0,0.06677,0.881,grande,52,-0.01794,0.9185,-0.0209,0.0625,2,True,Compressione margine,True,0.0
